1um,5um,time (iso)
1190,22,2015-08-08T12:18:25.123000
1240,28,2015-08-08T12:19:23.926000
1245,31,2015-08-08T12:20:22.725000
1210,27,2015-08-08T12:21:21.528000
1241,25,2015-08-08T12:22:20.333000
1188,26,2015-08-08T12:23:19.135000
1159,22,2015-08-08T12:24:17.938000
1131,21,2015-08-08T12:25:16.739000
1135,21,2015-08-08T12:26:15.542000
1193,35,2015-08-08T12:27:14.344000
1259,40,2015-08-08T12:28:13.147000
1294,47,2015-08-08T12:29:11.947000
1265,42,2015-08-08T12:30:10.746000
1253,42,2015-08-08T12:31:09.546000
1316,69,2015-08-08T12:32:08.347000
1238,71,2015-08-08T12:33:07.146000
1063,57,2015-08-08T12:34:05.953000
947,38,2015-08-08T12:35:04.755000
898,31,2015-08-08T12:36:03.562000
933,34,2015-08-08T12:37:02.368000
861,28,2015-08-08T12:38:01.174000
794,23,2015-08-08T12:38:59.981000
740,26,2015-08-08T12:39:58.785000
669,18,2015-08-08T12:40:57.594000
633,18,2015-08-08T12:41:56.401000
641,16,2015-08-08T12:42:55.209000
578,11,2015-08-08T12:43:54.017000
530,8,2015-08-08T12:44:52.823000
529,11,2015-08-08T12:45:51.633000
505,7,2015-08-08T12:46:50.440000
473,9,2015-08-08T12:47:49.249000
457,8,2015-08-08T12:48:48.058000
427,7,2015-08-08T12:49:46.865000
391,5,2015-08-08T12:50:45.677000
366,4,2015-08-08T12:51:44.484000
360,5,2015-08-08T12:52:43.292000
356,2,2015-08-08T12:53:42.097000
324,3,2015-08-08T12:54:40.902000
320,3,2015-08-08T12:55:39.709000
300,3,2015-08-08T12:56:38.515000
285,3,2015-08-08T12:57:37.322000
265,1,2015-08-08T12:58:36.127000
266,2,2015-08-08T12:59:34.933000
301,11,2015-08-08T13:00:33.741000
335,19,2015-08-08T13:01:32.547000
300,10,2015-08-08T13:02:31.353000
271,10,2015-08-08T13:03:30.159000
274,9,2015-08-08T13:04:28.965000
240,9,2015-08-08T13:05:27.773000
292,21,2015-08-08T13:06:26.580000
278,16,2015-08-08T13:07:25.388000
257,14,2015-08-08T13:08:24.195000
271,19,2015-08-08T13:09:23.002000
242,15,2015-08-08T13:10:21.809000
235,17,2015-08-08T13:11:20.619000
350,54,2015-08-08T13:12:19.425000
298,34,2015-08-08T13:13:18.229000
266,24,2015-08-08T13:14:17.033000
286,35,2015-08-08T13:15:15.840000
295,32,2015-08-08T13:16:14.647000
267,24,2015-08-08T13:17:13.453000
247,21,2015-08-08T13:18:12.255000
209,20,2015-08-08T13:19:11.059000
236,23,2015-08-08T13:20:09.865000
272,35,2015-08-08T13:21:08.671000
250,28,2015-08-08T13:22:07.479000
221,20,2015-08-08T13:23:06.285000
259,33,2015-08-08T13:24:05.091000
232,25,2015-08-08T13:25:03.897000
212,20,2015-08-08T13:26:02.703000
238,26,2015-08-08T13:27:01.510000
215,21,2015-08-08T13:28:00.319000
250,31,2015-08-08T13:28:59.124000
256,28,2015-08-08T13:29:57.935000
215,25,2015-08-08T13:30:56.740000
209,22,2015-08-08T13:31:55.550000
208,21,2015-08-08T13:32:54.354000
202,20,2015-08-08T13:33:53.158000
198,18,2015-08-08T13:34:51.967000
211,25,2015-08-08T13:35:50.775000
201,18,2015-08-08T13:36:49.583000
178,17,2015-08-08T13:37:48.393000
166,16,2015-08-08T13:38:47.201000
163,14,2015-08-08T13:39:46.009000
144,12,2015-08-08T13:40:44.819000
151,15,2015-08-08T13:41:43.627000
150,17,2015-08-08T13:42:42.434000
138,8,2015-08-08T13:43:41.238000
152,19,2015-08-08T13:44:40.048000
152,18,2015-08-08T13:45:38.857000
144,18,2015-08-08T13:46:37.670000
142,16,2015-08-08T13:47:36.479000
140,13,2015-08-08T13:48:35.462000
130,12,2015-08-08T13:49:34.093000
147,16,2015-08-08T13:50:32.903000
140,14,2015-08-08T13:51:31.710000
143,14,2015-08-08T13:52:30.517000
126,12,2015-08-08T13:53:29.327000
144,14,2015-08-08T13:54:28.136000
133,15,2015-08-08T13:55:26.948000
114,7,2015-08-08T13:56:25.755000
98,6,2015-08-08T13:57:24.565000
102,8,2015-08-08T13:58:23.376000
157,19,2015-08-08T13:59:22.188000
146,11,2015-08-08T14:00:20.999000
145,14,2015-08-08T14:01:19.807000
123,12,2015-08-08T14:02:18.614000
100,7,2015-08-08T14:03:17.423000
94,4,2015-08-08T14:04:16.232000
114,8,2015-08-08T14:05:15.044000
99,8,2015-08-08T14:06:13.851000
103,6,2015-08-08T14:07:12.664000
