P2 ratio,P1 ratio,0.5um,1um,time (iso)
12.82,1.04,795.82,64.44,2015-08-02T09:19:22.777000
10.95,0.81,679.54,50.10,2015-08-02T09:20:24.771000
12.17,0.57,755.27,35.37,2015-08-02T09:21:27.821000
12.75,1.15,791.45,71.13,2015-08-02T09:22:29.564000
10.77,0.46,668.45,28.39,2015-08-02T09:23:32.876000
38.41,12.33,2383.93,765.06,2015-08-02T09:24:34.809000
50.04,36.92,3105.33,2291.49,2015-08-02T09:25:36.925000
58.86,38.68,3653.20,2400.69,2015-08-02T09:26:38.730000
28.15,20.31,1746.76,1260.39,2015-08-02T09:27:40.675000
26.23,9.62,1627.69,597.16,2015-08-02T09:28:42.778000
20.46,2.18,1269.59,135.13,2015-08-02T09:29:44.702000
19.84,4.03,1231.12,249.95,2015-08-02T09:30:46.999000
18.97,2.66,1177.34,165.34,2015-08-02T09:31:49.631000
17.20,2.15,1067.25,133.71,2015-08-02T09:32:52.247000
15.53,3.28,963.92,203.36,2015-08-02T09:33:54.122000
16.29,1.49,1010.70,92.70,2015-08-02T09:34:56.328000
17.04,2.25,1057.56,139.84,2015-08-02T09:35:58.846000
15.40,2.57,955.78,159.46,2015-08-02T09:37:00.811000
13.99,3.63,868.48,224.99,2015-08-02T09:38:02.525000
14.44,1.46,896.41,90.83,2015-08-02T09:39:04.592000
15.51,2.39,962.30,148.23,2015-08-02T09:40:06.815000
14.15,2.21,878.10,137.38,2015-08-02T09:41:08.923000
15.39,1.88,955.16,116.82,2015-08-02T09:42:11.031000
15.26,2.49,947.10,154.61,2015-08-02T09:43:13.766000
16.53,1.80,1025.78,111.99,2015-08-02T09:44:16.513000
15.65,2.04,971.13,126.64,2015-08-02T09:45:19.023000
14.74,2.32,914.58,143.90,2015-08-02T09:46:21.307000
14.91,2.39,925.46,148.32,2015-08-02T09:47:24.632000
16.18,1.51,1003.98,93.54,2015-08-02T09:48:26.981000
12.86,1.53,797.82,95.13,2015-08-02T09:49:28.716000
16.38,3.08,1016.57,190.96,2015-08-02T09:50:30.813000
17.83,5.04,1106.66,312.69,2015-08-02T09:51:32.790000
13.20,3.51,819.15,218.04,2015-08-02T09:52:35.688000
15.99,1.74,992.44,108.13,2015-08-02T09:53:37.761000
16.17,2.77,1003.80,172.18,2015-08-02T09:54:40.773000
19.92,5.12,1236.34,317.64,2015-08-02T09:55:42.877000
16.47,2.67,1022.27,165.78,2015-08-02T09:56:45.906000
17.49,4.81,1085.46,298.24,2015-08-02T09:57:48.371000
15.77,3.53,978.99,219.06,2015-08-02T09:58:50.499000
18.45,2.49,1144.73,154.26,2015-08-02T09:59:52.940000
18.06,3.86,1120.80,239.77,2015-08-02T10:00:55.248000
16.37,2.45,1016.13,151.94,2015-08-02T10:01:58.781000
15.69,2.48,973.98,153.79,2015-08-02T10:03:01.340000
14.67,2.22,910.15,138.04,2015-08-02T10:04:03.600000
16.66,1.94,1033.74,120.44,2015-08-02T10:05:05.552000
15.36,2.73,953.20,169.48,2015-08-02T10:06:08.028000
17.38,2.02,1078.49,125.58,2015-08-02T10:07:10.993000
18.38,2.11,1140.95,130.93,2015-08-02T10:08:14.044000
17.07,1.88,1059.40,116.41,2015-08-02T10:09:15.889000
18.64,2.24,1156.78,139.23,2015-08-02T10:10:18.092000
