P2 ratio,P1 ratio,0.5um,1um,time (iso)
17.14,2.28,10637.47,649.83,2015-08-19T08:28:12.915000
17.45,0.47,10830.11,55.84,2015-08-19T08:29:15.523000
15.41,1.41,9561.83,319.69,2015-08-19T08:30:17.472000
17.47,1.85,10843.47,481.46,2015-08-19T08:31:19.375000
15.96,1.14,9905.16,228.13,2015-08-19T08:32:22.577000
16.27,1.04,10094.98,197.03,2015-08-19T08:33:25.987000
16.10,1.35,9991.15,298.65,2015-08-19T08:34:29.279000
15.22,0.27,9446.74,24.33,2015-08-19T08:35:32.432000
14.22,0.89,8826.70,153.50,2015-08-19T08:36:34.868000
19.70,1.18,12228.32,240.56,2015-08-19T08:37:37.181000
18.09,2.06,11227.96,562.72,2015-08-19T08:38:38.945000
14.45,0.84,8970.36,140.06,2015-08-19T08:39:42.589000
18.19,0.53,11290.03,66.36,2015-08-19T08:40:44.828000
20.71,1.56,12850.14,371.71,2015-08-19T08:41:47.027000
15.92,2.35,9877.80,675.57,2015-08-19T08:42:50.540000
16.36,1.77,10154.75,450.94,2015-08-19T08:43:52.431000
16.92,1.47,10502.02,339.50,2015-08-19T08:44:55.747000
15.83,1.42,9821.26,322.23,2015-08-19T08:45:58.584000
15.75,1.30,9771.90,280.24,2015-08-19T08:47:01.827000
16.57,1.88,10282.91,492.69,2015-08-19T08:48:05.045000
23.99,4.36,14887.46,2707.63,2015-08-19T08:49:07.071000
19.22,5.57,11926.34,3457.32,2015-08-19T08:50:09.506000
15.36,1.71,9534.13,427.60,2015-08-19T08:51:11.615000
16.67,2.01,10346.72,541.79,2015-08-19T08:52:14.042000
17.94,1.69,11130.78,419.38,2015-08-19T08:53:17.343000
13.47,2.16,8357.29,600.67,2015-08-19T08:54:19.545000
16.72,0.98,10379.20,178.68,2015-08-19T08:55:21.608000
17.41,3.83,10806.56,1111.62,2015-08-19T08:56:23.998000
20.82,4.48,12918.81,2780.92,2015-08-19T08:57:26.074000
25.13,3.63,15595.43,1077.30,2015-08-19T08:58:27.818000
20.19,6.10,12530.24,3783.32,2015-08-19T08:59:30.347000
22.67,3.41,14070.82,1025.79,2015-08-19T09:00:32.279000
19.27,4.17,11956.84,2587.04,2015-08-19T09:01:34.372000
17.10,3.65,10609.81,1081.56,2015-08-19T09:02:36.701000
20.65,2.55,12812.99,751.73,2015-08-19T09:03:38.440000
22.04,4.52,13677.49,2806.55,2015-08-19T09:04:41.302000
20.43,2.99,12676.48,904.28,2015-08-19T09:05:44.012000
22.42,2.35,13915.94,675.89,2015-08-19T09:06:46.940000
20.02,3.07,12424.37,931.50,2015-08-19T09:07:49.367000
20.92,2.73,12985.95,816.37,2015-08-19T09:08:51.447000
20.24,4.06,12562.54,2521.61,2015-08-19T09:09:54.726000
19.00,2.67,11793.84,795.70,2015-08-19T09:10:57.916000
16.52,2.68,10250.10,799.79,2015-08-19T09:11:59.930000
15.95,2.05,9901.00,558.61,2015-08-19T09:13:02.669000
17.64,1.02,10948.17,190.45,2015-08-19T09:14:05.810000
13.86,1.30,8603.17,281.43,2015-08-19T09:15:07.623000
15.69,2.23,9740.28,630.88,2015-08-19T09:16:09.366000
16.06,2.90,9966.54,876.65,2015-08-19T09:17:12.375000
16.85,2.56,10459.02,753.57,2015-08-19T09:18:14.492000
15.89,2.76,9861.88,826.12,2015-08-19T09:19:17.964000
18.14,1.93,11258.04,513.77,2015-08-19T09:20:20.699000
14.41,2.64,8944.21,783.14,2015-08-19T09:21:23.512000
15.46,1.18,9596.66,240.03,2015-08-19T09:22:25.280000
16.36,1.68,10151.67,415.03,2015-08-19T09:23:27.347000
14.57,0.89,9040.35,153.54,2015-08-19T09:24:30.156000
15.50,2.76,9622.15,828.91,2015-08-19T09:25:33.149000
17.69,1.83,10980.92,473.69,2015-08-19T09:26:34.999000
18.41,4.58,11424.07,2843.68,2015-08-19T09:27:36.931000
18.55,2.88,11514.79,867.94,2015-08-19T09:28:39.904000
16.35,2.41,10149.45,698.42,2015-08-19T09:29:42.188000
17.77,1.82,11025.88,471.92,2015-08-19T09:30:45.595000
17.44,1.95,10825.28,521.54,2015-08-19T09:31:48.395000
15.37,1.74,9541.54,438.64,2015-08-19T09:32:50.250000
17.29,1.92,10727.81,510.39,2015-08-19T09:33:52.448000
17.85,2.01,11077.02,545.37,2015-08-19T09:34:54.314000
17.63,2.60,10938.80,769.23,2015-08-19T09:35:56.824000
15.44,2.99,9580.62,904.42,2015-08-19T09:36:58.600000
14.61,1.59,9065.19,384.85,2015-08-19T09:38:00.717000
13.56,1.45,8412.75,333.06,2015-08-19T09:39:03.014000
16.45,0.87,10206.41,146.31,2015-08-19T09:40:05.724000
16.81,1.55,10432.68,370.00,2015-08-19T09:41:08.877000
18.93,1.76,11747.31,448.93,2015-08-19T09:42:11.919000
16.54,2.81,10265.37,844.89,2015-08-19T09:43:14.003000
15.55,1.24,9648.80,258.67,2015-08-19T09:44:15.914000
15.08,2.74,9359.08,819.41,2015-08-19T09:45:18.158000
15.70,1.74,9743.89,440.01,2015-08-19T09:46:20.352000
14.87,2.34,9230.78,670.55,2015-08-19T09:47:22.853000
