P2 ratio,P1 ratio,0.5um,1um,time (iso)
34.21,8.95,21229.53,5556.26,2015-08-17T11:57:10.089000
23.49,6.19,14580.45,3841.98,2015-08-17T11:58:12.683000
18.67,5.99,11589.82,3720.35,2015-08-17T11:59:15.622000
20.52,4.75,12732.44,2947.85,2015-08-17T12:00:18.709000
16.83,2.82,10444.87,846.83,2015-08-17T12:01:21.947000
18.85,3.22,11696.65,975.70,2015-08-17T12:02:24.695000
24.84,4.24,15415.09,2631.64,2015-08-17T12:03:26.796000
21.17,6.78,13135.59,4206.71,2015-08-17T12:04:29.305000
24.93,6.92,15472.90,4294.25,2015-08-17T12:05:31.162000
21.18,5.20,13142.71,3225.38,2015-08-17T12:06:33.002000
20.21,2.46,12541.92,716.18,2015-08-17T12:07:34.721000
17.81,4.73,11050.17,2936.81,2015-08-17T12:08:36.960000
24.64,4.87,15290.33,3023.58,2015-08-17T12:09:38.968000
20.99,9.04,13025.01,5608.15,2015-08-17T12:10:42.150000
24.40,7.56,15143.86,4690.57,2015-08-17T12:11:44.247000
28.03,10.54,17397.30,6542.50,2015-08-17T12:12:46.167000
24.02,9.28,14908.96,5760.07,2015-08-17T12:13:49.101000
24.82,8.22,15404.94,5100.49,2015-08-17T12:14:51.354000
23.35,6.10,14493.13,3786.15,2015-08-17T12:15:53.308000
23.39,6.56,14512.98,4072.28,2015-08-17T12:16:55.321000
17.74,4.12,11008.39,2554.69,2015-08-17T12:17:58.171000
17.15,4.17,10643.36,2588.18,2015-08-17T12:19:01.285000
19.56,3.15,12140.28,956.50,2015-08-17T12:20:03.299000
14.16,3.44,8789.70,1035.54,2015-08-17T12:21:06.164000
16.75,3.76,10394.61,1101.24,2015-08-17T12:22:08.361000
13.76,1.67,8540.72,411.57,2015-08-17T12:23:10.332000
13.89,2.41,8619.35,697.55,2015-08-17T12:24:13.631000
16.79,3.36,10421.00,1014.32,2015-08-17T12:25:15.521000
13.40,2.14,8313.30,593.90,2015-08-17T12:26:18.968000
15.39,3.37,9551.99,1015.57,2015-08-17T12:27:21.139000
12.67,2.34,7865.49,670.42,2015-08-17T12:28:23.309000
15.27,2.02,9477.26,546.95,2015-08-17T12:29:25.733000
11.86,1.90,7361.75,499.68,2015-08-17T12:30:27.680000
13.09,1.24,8126.50,261.07,2015-08-17T12:31:29.756000
13.31,3.28,8258.07,993.26,2015-08-17T12:32:33.197000
10.87,3.62,6745.88,1075.06,2015-08-17T12:33:36.210000
10.78,1.75,6692.91,444.11,2015-08-17T12:34:38.821000
12.71,1.62,7890.38,392.89,2015-08-17T12:35:42.634000
12.02,1.14,7457.02,228.31,2015-08-17T12:36:44.645000
11.70,0.39,7264.18,40.70,2015-08-17T12:37:47.388000
12.07,0.75,7493.44,115.60,2015-08-17T12:38:50.404000
10.97,0.20,6809.32,15.08,2015-08-17T12:39:53.552000
11.12,1.26,6900.53,265.35,2015-08-17T12:40:56.547000
10.21,0.32,6333.77,30.09,2015-08-17T12:42:00.138000
10.70,0.49,6642.89,57.90,2015-08-17T12:43:02.312000
9.68,0.87,6008.80,147.12,2015-08-17T12:44:04.890000
11.53,0.66,7157.14,95.07,2015-08-17T12:45:08.032000
12.02,0.50,7458.15,60.47,2015-08-17T12:46:10.490000
9.76,0.83,6058.38,135.62,2015-08-17T12:47:12.519000
10.08,0.28,6256.91,25.63,2015-08-17T12:48:15.705000
9.32,0.78,5783.52,122.91,2015-08-17T12:49:18.758000
11.14,0.93,6916.42,162.36,2015-08-17T12:50:21.357000
9.95,0.47,6174.86,55.12,2015-08-17T12:51:24.830000
9.47,1.35,5878.11,297.61,2015-08-17T12:52:27.353000
7.58,0.62,4704.45,86.20,2015-08-17T12:53:29.450000
10.12,0.64,6277.55,90.40,2015-08-17T12:54:32.288000
9.93,0.77,6165.30,122.03,2015-08-17T12:55:35.397000
10.48,1.00,6506.90,182.61,2015-08-17T12:56:38.630000
15.44,1.01,9582.57,187.38,2015-08-17T12:57:40.843000
14.20,1.24,8813.15,261.22,2015-08-17T12:58:43.683000
14.08,1.13,8738.78,225.41,2015-08-17T12:59:45.568000
9.54,1.20,5918.43,245.95,2015-08-17T13:00:47.536000
11.92,0.93,7396.14,162.49,2015-08-17T13:01:50.063000
11.09,1.33,6884.64,290.30,2015-08-17T13:02:52.830000
10.20,0.79,6328.08,126.57,2015-08-17T13:03:55.071000
10.88,1.00,6749.60,183.52,2015-08-17T13:04:58.030000
10.65,1.73,6608.35,437.10,2015-08-17T13:06:00.500000
10.42,0.49,6467.08,59.27,2015-08-17T13:07:03.869000
9.76,0.79,6058.94,125.26,2015-08-17T13:08:06.452000
13.03,0.93,8086.43,162.71,2015-08-17T13:09:09.048000
8.33,1.71,5166.70,426.30,2015-08-17T13:10:11.779000
11.42,0.33,7087.61,31.86,2015-08-17T13:11:14.093000
12.26,0.94,7609.23,166.08,2015-08-17T13:12:15.835000
11.46,1.86,7113.11,485.01,2015-08-17T13:13:18.752000
11.00,0.89,6828.67,151.90,2015-08-17T13:14:22.023000
10.12,0.43,6283.21,47.27,2015-08-17T13:15:25.113000
12.82,1.49,7954.78,348.29,2015-08-17T13:16:27.353000
11.74,0.90,7284.28,155.14,2015-08-17T13:17:30.241000
10.93,1.41,6780.86,316.99,2015-08-17T13:18:32.429000
9.20,2.05,5710.08,559.39,2015-08-17T13:19:34.893000
11.10,0.42,6886.53,46.72,2015-08-17T13:20:38.240000
11.03,0.70,6848.19,104.77,2015-08-17T13:21:40.501000
11.47,1.54,7117.10,363.48,2015-08-17T13:22:43.923000
9.92,0.83,6157.17,136.63,2015-08-17T13:23:46.277000
10.31,0.70,6399.09,104.58,2015-08-17T13:24:50.128000
9.46,0.88,5870.95,148.82,2015-08-17T13:25:53.244000
11.45,0.44,7103.35,50.08,2015-08-17T13:26:55.279000
10.66,1.58,6616.65,380.15,2015-08-17T13:27:58.429000
10.52,0.65,6527.42,92.25,2015-08-17T13:29:01.671000
12.58,0.86,7807.61,145.65,2015-08-17T13:30:03.980000
10.20,0.55,6329.73,69.92,2015-08-17T13:31:05.943000
10.45,1.09,6485.93,210.41,2015-08-17T13:32:09.249000
9.72,0.87,6031.72,148.15,2015-08-17T13:33:11.651000
10.17,0.40,6311.64,43.40,2015-08-17T13:34:13.889000
9.82,0.76,6095.15,118.25,2015-08-17T13:35:16.043000
11.79,0.31,7319.43,28.99,2015-08-17T13:36:18.455000
9.99,0.91,6199.00,159.25,2015-08-17T13:37:20.284000
9.70,0.98,6021.34,176.76,2015-08-17T13:38:22.028000
9.89,0.84,6139.20,138.15,2015-08-17T13:39:25.176000
10.43,0.70,6472.71,104.17,2015-08-17T13:40:27.651000
9.71,0.29,6024.67,26.80,2015-08-17T13:41:31.028000
9.64,0.20,5982.64,15.59,2015-08-17T13:42:33.601000
11.14,0.78,6916.41,124.37,2015-08-17T13:43:35.849000
11.05,0.43,6860.37,48.84,2015-08-17T13:44:38.065000
12.25,0.44,7600.88,49.24,2015-08-17T13:45:40.231000
10.54,1.66,6542.03,408.38,2015-08-17T13:46:43.592000
9.08,0.44,5635.02,49.11,2015-08-17T13:47:46.109000
10.56,0.37,6554.01,38.17,2015-08-17T13:48:49.405000
11.62,0.48,7212.56,57.08,2015-08-17T13:49:51.569000
11.08,0.28,6875.27,24.50,2015-08-17T13:50:53.611000
9.89,1.37,6135.83,303.43,2015-08-17T13:51:56.504000
10.01,0.87,6212.99,146.26,2015-08-17T13:52:59.015000
12.58,1.92,7810.29,507.81,2015-08-17T13:54:02.001000
11.87,0.24,7369.31,20.59,2015-08-17T13:55:04.243000
10.69,2.06,6631.98,564.42,2015-08-17T13:56:06.197000
11.88,0.62,7372.11,84.36,2015-08-17T13:57:08.687000
10.60,0.91,6580.31,158.13,2015-08-17T13:58:11.044000
10.38,2.07,6438.88,568.76,2015-08-17T13:59:13.613000
10.64,0.25,6601.47,21.32,2015-08-17T14:00:15.980000
11.04,1.39,6853.37,310.92,2015-08-17T14:01:19.725000
11.83,1.51,7339.96,355.24,2015-08-17T14:02:21.896000
10.19,0.65,6325.15,91.72,2015-08-17T14:03:24.104000
12.30,1.17,7633.32,237.23,2015-08-17T14:04:26.859000
12.04,2.99,7474.73,904.20,2015-08-17T14:05:29.233000
12.21,0.75,7577.45,115.20,2015-08-17T14:06:31.520000
12.50,1.13,7758.73,224.89,2015-08-17T14:07:33.635000
9.79,1.93,6078.16,512.96,2015-08-17T14:08:35.918000
11.19,1.27,6944.55,270.03,2015-08-17T14:09:37.849000
9.48,0.64,5881.89,88.87,2015-08-17T14:10:40.349000
8.90,0.71,5522.51,106.42,2015-08-17T14:11:42.924000
10.64,0.69,6603.32,101.04,2015-08-17T14:12:44.885000
13.95,1.64,8660.23,402.99,2015-08-17T14:13:47.091000
14.08,1.74,8737.11,438.73,2015-08-17T14:14:49.506000
11.31,1.17,7017.36,237.15,2015-08-17T14:15:53.042000
18.38,1.79,11405.71,459.93,2015-08-17T14:16:56.003000
15.31,6.36,9502.51,3944.52,2015-08-17T14:17:57.905000
14.16,4.04,8785.25,2508.96,2015-08-17T14:19:00.740000
16.47,2.58,10219.07,761.35,2015-08-17T14:20:02.487000
16.17,1.58,10036.47,377.93,2015-08-17T14:21:04.895000
17.08,1.15,10598.08,229.97,2015-08-17T14:22:08.023000
15.98,1.09,9916.57,212.58,2015-08-17T14:23:10.068000
16.82,3.83,10440.85,1110.99,2015-08-17T14:24:13.287000
16.60,3.02,10300.02,914.73,2015-08-17T14:25:15.073000
15.67,1.88,9724.77,492.14,2015-08-17T14:26:17.232000
14.54,2.36,9025.59,679.78,2015-08-17T14:27:20.248000
14.64,3.39,9087.54,1022.78,2015-08-17T14:28:23.027000
17.49,2.50,10854.53,731.29,2015-08-17T14:29:24.990000
12.89,3.25,7998.31,985.72,2015-08-17T14:30:27.298000
15.53,1.63,9635.76,396.69,2015-08-17T14:31:30.471000
14.17,2.17,8792.71,607.58,2015-08-17T14:32:33.054000
14.59,2.88,9054.35,870.10,2015-08-17T14:33:35.732000
21.67,2.43,13448.02,706.98,2015-08-17T14:34:38.130000
17.50,2.77,10860.61,832.43,2015-08-17T14:35:40.344000
18.33,5.21,11376.12,3233.92,2015-08-17T14:36:42.987000
16.18,4.62,10039.11,2866.39,2015-08-17T14:37:45.171000
16.74,2.58,10390.27,762.01,2015-08-17T14:38:47.934000
18.95,3.02,11762.66,915.49,2015-08-17T14:39:50.222000
21.95,3.26,13621.59,987.92,2015-08-17T14:40:52.504000
16.56,5.74,10274.77,3565.39,2015-08-17T14:41:54.617000
15.31,3.96,9503.21,1128.73,2015-08-17T14:42:56.921000
15.15,4.76,9403.41,2955.26,2015-08-17T14:43:59.450000
16.54,2.65,10264.17,786.99,2015-08-17T14:45:02.219000
