P2 ratio,P1 ratio,0.5um,1um,time (iso)
14.91,3.00,9251.86,908.49,2015-08-17T16:35:38.733000
30.62,2.21,19004.05,621.59,2015-08-17T16:36:41.186000
25.52,11.65,15837.10,7229.20,2015-08-17T16:37:43.910000
21.25,3.33,13185.50,1007.57,2015-08-17T16:38:46.789000
16.37,5.38,10158.62,3341.93,2015-08-17T16:39:50.192000
26.58,9.52,16497.71,5905.56,2015-08-17T16:40:51.926000
17.30,5.70,10736.09,3537.01,2015-08-17T16:41:53.760000
19.93,2.93,12369.24,885.53,2015-08-17T16:42:56.702000
15.53,2.76,9635.97,827.59,2015-08-17T16:43:58.772000
17.12,2.45,10627.03,712.03,2015-08-17T16:45:02.338000
22.69,3.19,14078.91,966.27,2015-08-17T16:46:04.221000
15.64,4.41,9703.42,2733.97,2015-08-17T16:47:06.543000
15.11,3.38,9379.73,1018.78,2015-08-17T16:48:08.987000
17.42,4.87,10812.74,3025.40,2015-08-17T16:49:11.982000
14.01,2.54,8692.82,748.26,2015-08-17T16:50:15.115000
16.75,1.73,10396.19,435.00,2015-08-17T16:51:16.835000
16.51,4.92,10248.62,3051.29,2015-08-17T16:52:18.939000
17.28,3.50,10724.93,1048.11,2015-08-17T16:53:21.038000
19.95,3.21,12379.82,972.85,2015-08-17T16:54:23.219000
18.68,5.45,11593.39,3384.66,2015-08-17T16:55:25.272000
17.82,5.14,11056.33,3187.24,2015-08-17T16:56:27.433000
19.91,5.22,12358.16,3240.67,2015-08-17T16:57:29.151000
16.92,2.49,10500.67,727.99,2015-08-17T16:58:31.171000
14.26,3.54,8850.25,1057.11,2015-08-17T16:59:33.703000
15.80,3.50,9803.72,1047.57,2015-08-17T17:00:35.761000
14.12,4.19,8766.08,2598.03,2015-08-17T17:01:39.110000
16.97,3.16,10529.33,957.33,2015-08-17T17:02:41.210000
15.09,2.44,9364.56,708.92,2015-08-17T17:03:43.353000
17.67,3.58,10966.08,1066.12,2015-08-17T17:04:45.162000
16.06,2.99,9968.42,905.55,2015-08-17T17:05:48.297000
