P2 ratio,P1 ratio,0.5um,1um,time (iso)
17.30,1.33,10738.43,289.04,2015-08-23T10:12:09.280000
20.24,3.68,12560.17,1086.59,2015-08-23T10:13:12.166000
18.65,2.07,11574.99,564.97,2015-08-23T10:14:13.885000
15.65,1.74,9712.06,441.16,2015-08-23T10:15:16.214000
15.27,0.66,9478.61,95.15,2015-08-23T10:16:18.208000
15.59,0.75,9673.57,115.39,2015-08-23T10:17:20.143000
14.76,1.12,9162.29,220.14,2015-08-23T10:18:23.362000
15.51,1.21,9628.63,250.52,2015-08-23T10:19:25.252000
19.17,3.68,11898.42,1085.75,2015-08-23T10:20:27.652000
21.60,4.88,13402.33,3028.96,2015-08-23T10:21:29.912000
22.94,3.53,14237.07,1056.60,2015-08-23T10:22:32.978000
18.88,6.01,11715.23,3729.04,2015-08-23T10:23:35.086000
21.19,5.35,13149.35,3320.73,2015-08-23T10:24:37.034000
20.47,5.37,12704.10,3332.40,2015-08-23T10:25:40.367000
18.48,4.85,11469.94,3008.12,2015-08-23T10:26:42.139000
19.79,3.62,12283.47,1074.38,2015-08-23T10:27:44.054000
18.38,5.94,11404.89,3689.48,2015-08-23T10:28:46.015000
16.23,2.40,10069.47,694.84,2015-08-23T10:29:47.857000
18.02,3.57,11182.37,1063.84,2015-08-23T10:30:49.650000
23.14,7.90,14361.30,4904.15,2015-08-23T10:31:51.533000
30.72,6.74,19062.55,4182.90,2015-08-23T10:32:53.313000
24.08,10.41,14947.18,6459.73,2015-08-23T10:33:55.569000
22.63,10.56,14044.87,6551.80,2015-08-23T10:34:57.627000
20.35,5.83,12627.27,3620.92,2015-08-23T10:35:59.698000
19.98,4.52,12401.30,2807.51,2015-08-23T10:37:02.129000
17.84,3.17,11070.08,960.31,2015-08-23T10:38:04.050000
18.57,4.07,11527.16,2525.19,2015-08-23T10:39:06.563000
20.28,3.11,12582.88,942.47,2015-08-23T10:40:09.011000
19.09,6.01,11847.53,3730.49,2015-08-23T10:41:12.958000
18.22,3.77,11306.52,1102.39,2015-08-23T10:42:14.657000
17.20,3.60,10674.19,1071.38,2015-08-23T10:43:16.626000
15.31,5.24,9504.58,3254.32,2015-08-23T10:44:19.855000
17.28,3.69,10725.70,1087.70,2015-08-23T10:45:22.504000
12.11,3.43,7515.89,1032.88,2015-08-23T10:46:24.252000
12.37,2.56,7676.67,755.26,2015-08-23T10:47:26.340000
14.33,1.62,8894.52,393.30,2015-08-23T10:48:28.243000
14.55,1.51,9029.83,352.25,2015-08-23T10:49:30.302000
13.05,1.51,8096.64,353.08,2015-08-23T10:50:33.115000
15.55,2.13,9651.50,591.40,2015-08-23T10:51:35.251000
12.80,1.15,7941.11,230.67,2015-08-23T10:52:37.327000
