1um,5um,time (iso)
526,76,2015-08-21T09:09:42.657000
337,53,2015-08-21T09:10:41.408000
1012,208,2015-08-21T09:11:40.162000
1496,277,2015-08-21T09:12:38.914000
895,91,2015-08-21T09:13:37.663000
1184,111,2015-08-21T09:14:36.419000
1723,187,2015-08-21T09:15:35.171000
1665,205,2015-08-21T09:16:33.925000
1335,158,2015-08-21T09:17:32.678000
876,109,2015-08-21T09:18:31.432000
635,91,2015-08-21T09:19:30.185000
576,84,2015-08-21T09:20:28.940000
513,76,2015-08-21T09:21:27.696000
474,63,2015-08-21T09:22:26.453000
434,62,2015-08-21T09:23:25.209000
561,83,2015-08-21T09:24:23.967000
859,122,2015-08-21T09:25:22.725000
921,107,2015-08-21T09:26:21.481000
950,86,2015-08-21T09:27:20.236000
1043,83,2015-08-21T09:28:18.994000
1259,88,2015-08-21T09:29:17.749000
1295,84,2015-08-21T09:30:16.505000
1082,77,2015-08-21T09:31:15.264000
803,73,2015-08-21T09:32:14.021000
652,60,2015-08-21T09:33:12.780000
674,56,2015-08-21T09:34:11.537000
614,50,2015-08-21T09:35:10.294000
701,45,2015-08-21T09:36:09.052000
1442,70,2015-08-21T09:37:07.812000
1535,64,2015-08-21T09:38:06.569000
1242,68,2015-08-21T09:39:05.327000
1155,73,2015-08-21T09:40:04.083000
1123,107,2015-08-21T09:41:02.841000
1582,105,2015-08-21T09:42:01.597000
1617,92,2015-08-21T09:43:00.352000
1516,83,2015-08-21T09:43:59.108000
1322,71,2015-08-21T09:44:57.864000
1125,65,2015-08-21T09:45:56.621000
1479,90,2015-08-21T09:46:55.381000
1168,75,2015-08-21T09:47:54.137000
987,67,2015-08-21T09:48:52.894000
918,58,2015-08-21T09:49:51.653000
4801,282,2015-08-21T09:50:50.413000
5921,329,2015-08-21T09:51:49.172000
7622,394,2015-08-21T09:52:47.931000
6948,337,2015-08-21T09:53:46.690000
7761,266,2015-08-21T09:54:45.448000
8157,278,2015-08-21T09:55:44.206000
6937,296,2015-08-21T09:56:42.963000
4717,199,2015-08-21T09:57:41.723000
3889,184,2015-08-21T09:58:40.483000
3372,215,2015-08-21T09:59:39.245000
3098,153,2015-08-21T10:00:38.006000
2807,141,2015-08-21T10:01:36.769000
2943,146,2015-08-21T10:02:35.528000
5524,324,2015-08-21T10:03:34.290000
8013,504,2015-08-21T10:04:33.051000
7704,484,2015-08-21T10:05:31.814000
5962,390,2015-08-21T10:06:30.577000
5683,391,2015-08-21T10:07:29.340000
3806,241,2015-08-21T10:08:28.102000
3330,197,2015-08-21T10:09:26.865000
2532,148,2015-08-21T10:10:25.625000
2079,120,2015-08-21T10:11:24.386000
1753,100,2015-08-21T10:12:23.148000
1146,76,2015-08-21T10:13:21.908000
915,58,2015-08-21T10:14:20.669000
608,45,2015-08-21T10:15:19.430000
679,70,2015-08-21T10:16:18.195000
995,102,2015-08-21T10:17:16.962000
2077,173,2015-08-21T10:18:15.727000
3393,330,2015-08-21T10:19:14.490000
3301,271,2015-08-21T10:20:13.254000
2475,165,2015-08-21T10:21:12.019000
2232,167,2015-08-21T10:22:10.782000
2230,165,2015-08-21T10:23:09.546000
2089,163,2015-08-21T10:24:08.309000
