P2 ratio,P1 ratio,0.5um,1um,time (iso)
31.15,9.58,19329.51,5943.26,2015-08-17T18:21:15.946000
20.66,11.22,12822.46,6960.72,2015-08-17T18:22:18.099000
16.61,3.41,10310.58,1027.40,2015-08-17T18:23:20.506000
15.60,3.58,9680.82,1065.62,2015-08-17T18:24:22.692000
17.29,3.97,10728.09,1130.15,2015-08-17T18:25:25.679000
20.71,5.89,12850.58,3658.40,2015-08-17T18:26:28.701000
15.61,5.18,9688.43,3213.46,2015-08-17T18:27:30.807000
15.31,3.37,9502.72,1017.53,2015-08-17T18:28:33.289000
14.27,1.73,8855.07,436.46,2015-08-17T18:29:35.836000
15.55,2.46,9653.15,718.05,2015-08-17T18:30:38.546000
12.58,1.89,7809.93,498.02,2015-08-17T18:31:40.559000
17.78,2.41,11032.08,699.38,2015-08-17T18:32:43.054000
17.39,4.42,10791.79,2742.82,2015-08-17T18:33:45.264000
17.07,5.92,10594.22,3672.87,2015-08-17T18:34:47.665000
15.63,5.85,9701.10,3628.50,2015-08-17T18:35:49.520000
15.57,3.91,9663.05,1122.74,2015-08-17T18:36:52.330000
16.08,3.71,9976.77,1092.56,2015-08-17T18:37:55.111000
14.75,1.97,9150.94,528.64,2015-08-17T18:38:58.836000
15.95,1.70,9895.66,422.80,2015-08-17T18:40:01.116000
18.81,2.50,11676.46,732.87,2015-08-17T18:41:03.760000
15.16,3.68,9406.70,1085.96,2015-08-17T18:42:05.635000
13.07,2.53,8110.28,741.71,2015-08-17T18:43:09.312000
14.88,2.31,9236.45,658.49,2015-08-17T18:44:11.390000
12.31,3.15,7636.73,955.80,2015-08-17T18:45:13.525000
13.66,3.21,8478.79,973.13,2015-08-17T18:46:18.300000
10.74,1.89,6667.82,498.44,2015-08-17T18:47:20.031000
13.29,1.47,8250.73,338.31,2015-08-17T18:48:22.774000
10.60,2.43,6578.08,707.64,2015-08-17T18:49:25.492000
11.88,1.69,7373.09,420.91,2015-08-17T18:50:28.961000
12.16,1.36,7546.57,300.41,2015-08-17T18:51:31.624000
10.89,0.85,6760.87,142.28,2015-08-17T18:52:34.692000
12.49,1.67,7749.11,411.63,2015-08-17T18:53:37.888000
12.79,0.81,7937.80,132.12,2015-08-17T18:54:41.101000
11.82,1.63,7332.78,396.98,2015-08-17T18:55:42.993000
12.28,1.43,7621.29,326.86,2015-08-17T18:56:45.389000
13.71,2.16,8508.24,602.55,2015-08-17T18:57:48.392000
13.37,1.33,8297.79,291.40,2015-08-17T18:58:50.105000
11.16,1.58,6927.83,381.31,2015-08-17T18:59:53.256000
10.67,0.82,6623.06,132.97,2015-08-17T19:00:55.438000
10.84,1.71,6726.84,429.55,2015-08-17T19:01:57.374000
10.16,2.14,6304.88,595.22,2015-08-17T19:02:59.179000
10.45,0.99,6483.85,179.67,2015-08-17T19:04:01.676000
12.56,1.00,7795.04,183.13,2015-08-17T19:05:04.350000
11.62,1.95,7212.89,522.14,2015-08-17T19:06:06.503000
11.52,1.01,7146.95,188.03,2015-08-17T19:07:08.496000
10.50,0.94,6518.85,165.58,2015-08-17T19:08:11.080000
11.32,0.54,7023.27,68.65,2015-08-17T19:09:14.098000
13.43,1.24,8337.50,260.86,2015-08-17T19:10:16.448000
13.60,3.10,8439.45,940.19,2015-08-17T19:11:19.270000
13.07,1.46,8112.72,335.71,2015-08-17T19:12:22.707000
13.16,2.29,8165.71,652.60,2015-08-17T19:13:24.715000
13.44,2.62,8339.73,777.45,2015-08-17T19:14:26.705000
12.84,1.95,7967.65,520.74,2015-08-17T19:15:28.470000
11.67,1.62,7245.01,393.95,2015-08-17T19:16:31.119000
12.34,2.31,7657.60,658.60,2015-08-17T19:17:33.840000
12.66,1.61,7858.62,391.90,2015-08-17T19:18:36.545000
13.61,0.76,8445.41,117.35,2015-08-17T19:19:38.834000
11.84,1.00,7349.50,183.87,2015-08-17T19:20:40.834000
12.33,0.56,7651.18,73.22,2015-08-17T19:21:42.906000
11.69,0.85,7253.82,142.25,2015-08-17T19:22:46.146000
12.11,0.88,7516.80,149.15,2015-08-17T19:23:49.557000
10.62,1.59,6590.44,384.63,2015-08-17T19:24:51.469000
