P2 ratio,P1 ratio,0.5um,1um,time (iso)
21.13,4.15,1311.56,257.49,2015-08-08T12:18:48.644000
17.77,4.35,1102.55,269.74,2015-08-08T12:19:51.731000
18.04,2.59,1119.75,160.66,2015-08-08T12:20:53.864000
17.01,4.56,1055.67,283.31,2015-08-08T12:21:55.816000
19.32,2.62,1198.98,162.34,2015-08-08T12:22:58.456000
15.38,2.70,954.22,167.68,2015-08-08T12:24:00.577000
15.71,2.84,975.07,176.36,2015-08-08T12:25:03.533000
16.08,2.38,997.88,147.73,2015-08-08T12:26:06.124000
16.80,1.98,1042.49,123.17,2015-08-08T12:27:08.122000
19.14,1.79,1188.07,110.97,2015-08-08T12:28:10.237000
15.34,2.99,952.12,185.33,2015-08-08T12:29:12.354000
17.16,3.30,1064.92,204.98,2015-08-08T12:30:14.811000
18.31,4.01,1136.19,248.78,2015-08-08T12:31:18.192000
18.69,4.17,1159.73,258.85,2015-08-08T12:32:20.129000
19.50,2.98,1209.95,185.16,2015-08-08T12:33:23.469000
15.78,3.20,979.22,198.60,2015-08-08T12:34:25.377000
14.71,2.21,913.07,137.13,2015-08-08T12:35:27.816000
15.13,1.97,938.87,122.13,2015-08-08T12:36:31.116000
14.51,2.04,900.63,126.54,2015-08-08T12:37:33.246000
13.54,0.78,840.36,48.16,2015-08-08T12:38:35.939000
12.43,1.87,771.36,115.92,2015-08-08T12:39:38.281000
11.31,1.49,702.18,92.48,2015-08-08T12:40:40.434000
13.79,1.31,855.88,81.29,2015-08-08T12:41:42.595000
15.03,0.99,932.91,61.15,2015-08-08T12:42:44.429000
14.34,1.12,889.99,69.48,2015-08-08T12:43:47.737000
14.24,1.66,883.79,102.88,2015-08-08T12:44:49.894000
15.00,2.25,931.06,139.81,2015-08-08T12:45:52.563000
13.45,2.55,834.66,158.17,2015-08-08T12:46:54.790000
13.74,1.57,852.71,97.71,2015-08-08T12:47:57.033000
12.88,1.31,799.49,81.57,2015-08-08T12:48:59.002000
12.41,0.73,770.39,45.04,2015-08-08T12:50:01.381000
13.50,1.25,837.87,77.38,2015-08-08T12:51:03.534000
15.07,1.26,935.45,77.94,2015-08-08T12:52:05.556000
14.44,1.40,896.37,86.97,2015-08-08T12:53:07.967000
12.00,1.43,744.62,88.63,2015-08-08T12:54:10.247000
12.26,0.92,760.84,57.08,2015-08-08T12:55:13.494000
12.67,1.52,786.04,94.06,2015-08-08T12:56:17.028000
12.28,0.89,761.83,54.95,2015-08-08T12:57:18.972000
16.02,1.32,993.92,81.94,2015-08-08T12:58:21.461000
12.53,1.16,777.63,71.77,2015-08-08T12:59:23.573000
11.09,1.01,688.20,62.77,2015-08-08T13:00:25.533000
14.05,0.99,871.78,61.54,2015-08-08T13:01:28.735000
13.04,1.41,809.25,87.73,2015-08-08T13:02:31.699000
12.97,1.63,805.01,100.90,2015-08-08T13:03:35.044000
14.56,0.67,903.43,41.62,2015-08-08T13:04:37.439000
13.85,1.13,859.29,70.11,2015-08-08T13:05:39.301000
11.57,0.80,718.24,49.45,2015-08-08T13:06:41.709000
12.69,0.48,787.61,29.77,2015-08-08T13:07:45.213000
13.43,0.76,833.54,47.30,2015-08-08T13:08:47.408000
14.03,1.52,870.66,94.03,2015-08-08T13:09:50.666000
15.07,0.38,935.56,23.69,2015-08-08T13:10:53.438000
11.19,1.11,694.50,69.10,2015-08-08T13:11:56.509000
13.47,1.30,836.04,80.50,2015-08-08T13:12:59.514000
14.48,0.79,898.48,49.05,2015-08-08T13:14:01.859000
13.93,1.54,864.70,95.56,2015-08-08T13:15:04.156000
13.59,1.94,843.67,120.41,2015-08-08T13:16:06.240000
15.44,1.05,958.38,65.43,2015-08-08T13:17:08.941000
11.61,1.36,720.74,84.60,2015-08-08T13:18:11.057000
13.83,1.10,858.42,68.28,2015-08-08T13:19:13.166000
10.81,1.03,670.75,63.96,2015-08-08T13:20:15.127000
10.52,0.75,652.87,46.30,2015-08-08T13:21:18.152000
11.42,0.49,708.51,30.20,2015-08-08T13:22:20.146000
13.54,0.59,840.17,36.58,2015-08-08T13:23:22.983000
12.89,1.14,799.88,70.97,2015-08-08T13:24:24.911000
14.49,1.79,899.37,111.30,2015-08-08T13:25:28.059000
13.67,0.84,848.19,51.90,2015-08-08T13:26:31.179000
10.74,1.51,666.37,93.97,2015-08-08T13:27:33.872000
13.20,1.59,819.29,98.47,2015-08-08T13:28:36.124000
13.55,0.96,840.68,59.67,2015-08-08T13:29:38.585000
12.83,1.15,796.38,71.28,2015-08-08T13:30:42.126000
14.79,1.16,917.59,71.92,2015-08-08T13:31:44.714000
12.78,1.37,793.36,84.92,2015-08-08T13:32:47.543000
11.21,1.92,695.65,118.93,2015-08-08T13:33:50.449000
13.78,1.54,855.14,95.71,2015-08-08T13:34:52.635000
13.57,1.61,842.14,99.90,2015-08-08T13:35:55.436000
12.29,0.99,762.93,61.51,2015-08-08T13:36:58.781000
