1um,5um,time (iso)
1353,209,2015-08-22T16:29:41.994000
747,91,2015-08-22T16:30:40.791000
1231,80,2015-08-22T16:31:39.587000
1194,52,2015-08-22T16:32:38.383000
1225,54,2015-08-22T16:33:37.179000
1279,46,2015-08-22T16:34:35.976000
628,24,2015-08-22T16:35:34.770000
589,23,2015-08-22T16:36:33.567000
1607,46,2015-08-22T16:37:32.364000
1376,36,2015-08-22T16:38:31.159000
867,29,2015-08-22T16:39:29.952000
1293,186,2015-08-22T16:40:28.749000
798,107,2015-08-22T16:41:27.543000
473,65,2015-08-22T16:42:26.335000
305,36,2015-08-22T16:43:25.129000
269,26,2015-08-22T16:44:23.924000
380,40,2015-08-22T16:45:22.721000
879,31,2015-08-22T16:46:21.515000
2339,39,2015-08-22T16:47:20.313000
1885,118,2015-08-22T16:48:19.111000
1794,103,2015-08-22T16:49:17.908000
1498,73,2015-08-22T16:50:16.701000
1734,121,2015-08-22T16:51:15.498000
2740,105,2015-08-22T16:52:14.290000
2589,99,2015-08-22T16:53:13.085000
5701,135,2015-08-22T16:54:11.880000
9733,159,2015-08-22T16:55:10.675000
8319,147,2015-08-22T16:56:09.469000
6979,130,2015-08-22T16:57:08.261000
3790,104,2015-08-22T16:58:07.059000
11243,186,2015-08-22T16:59:05.854000
7319,107,2015-08-22T17:00:04.648000
8594,127,2015-08-22T17:01:03.440000
7646,105,2015-08-22T17:02:02.233000
2325,32,2015-08-22T17:03:01.024000
1582,41,2015-08-22T17:03:59.817000
798,24,2015-08-22T17:04:58.610000
874,31,2015-08-22T17:05:57.402000
840,33,2015-08-22T17:06:56.195000
759,26,2015-08-22T17:07:54.988000
542,18,2015-08-22T17:08:53.782000
429,22,2015-08-22T17:09:52.575000
338,22,2015-08-22T17:10:51.369000
224,16,2015-08-22T17:11:50.165000
259,20,2015-08-22T17:12:48.953000
257,23,2015-08-22T17:13:47.748000
415,88,2015-08-22T17:14:46.539000
283,47,2015-08-22T17:15:45.332000
189,18,2015-08-22T17:16:44.126000
179,18,2015-08-22T17:17:42.921000
200,21,2015-08-22T17:18:41.712000
314,42,2015-08-22T17:19:40.507000
1049,151,2015-08-22T17:20:39.302000
2297,263,2015-08-22T17:21:38.095000
3101,322,2015-08-22T17:22:36.890000
2636,230,2015-08-22T17:23:35.683000
2497,202,2015-08-22T17:24:34.477000
3631,403,2015-08-22T17:25:33.268000
4758,513,2015-08-22T17:26:32.063000
4872,524,2015-08-22T17:27:30.854000
3769,365,2015-08-22T17:28:29.645000
2271,181,2015-08-22T17:29:28.435000
2732,239,2015-08-22T17:30:27.225000
2082,181,2015-08-22T17:31:26.018000
2039,150,2015-08-22T17:32:24.809000
1529,108,2015-08-22T17:33:23.596000
1242,88,2015-08-22T17:34:22.385000
1397,125,2015-08-22T17:35:21.185000
2668,243,2015-08-22T17:36:19.969000
1088,94,2015-08-22T17:37:18.757000
2179,178,2015-08-22T17:38:17.550000
2789,155,2015-08-22T17:39:16.340000
2855,172,2015-08-22T17:40:15.130000
3135,168,2015-08-22T17:41:13.920000
4300,293,2015-08-22T17:42:12.710000
5444,428,2015-08-22T17:43:11.499000
4751,436,2015-08-22T17:44:10.291000
3520,314,2015-08-22T17:45:09.082000
1862,133,2015-08-22T17:46:07.872000
1184,86,2015-08-22T17:47:06.662000
914,79,2015-08-22T17:48:05.452000
1009,68,2015-08-22T17:49:04.244000
1250,86,2015-08-22T17:50:03.035000
973,97,2015-08-22T17:51:01.826000
1222,111,2015-08-22T17:52:00.613000
433,46,2015-08-22T17:52:59.400000
455,45,2015-08-22T17:53:58.190000
811,87,2015-08-22T17:54:56.981000
4116,458,2015-08-22T17:55:55.776000
3498,405,2015-08-22T17:56:54.567000
3159,393,2015-08-22T17:57:53.359000
3088,369,2015-08-22T17:58:52.149000
2861,320,2015-08-22T17:59:50.940000
1641,146,2015-08-22T18:00:49.733000
1800,140,2015-08-22T18:01:48.526000
1723,147,2015-08-22T18:02:47.317000
1714,170,2015-08-22T18:03:46.110000
1413,133,2015-08-22T18:04:44.903000
