1um,5um,time (iso)
612,122,2015-08-22T09:08:00.429000
415,81,2015-08-22T09:08:59.194000
346,65,2015-08-22T09:09:57.962000
459,97,2015-08-22T09:10:56.729000
424,77,2015-08-22T09:11:55.493000
427,79,2015-08-22T09:12:54.258000
444,83,2015-08-22T09:13:53.025000
443,88,2015-08-22T09:14:51.792000
447,72,2015-08-22T09:15:50.559000
526,85,2015-08-22T09:16:49.326000
593,78,2015-08-22T09:17:48.092000
681,92,2015-08-22T09:18:46.858000
496,65,2015-08-22T09:19:45.625000
388,47,2015-08-22T09:20:44.389000
429,64,2015-08-22T09:21:43.153000
430,59,2015-08-22T09:22:41.918000
492,77,2015-08-22T09:23:40.680000
564,108,2015-08-22T09:24:39.448000
674,151,2015-08-22T09:25:38.210000
759,171,2015-08-22T09:26:36.978000
810,143,2015-08-22T09:27:35.743000
916,142,2015-08-22T09:28:34.509000
1037,140,2015-08-22T09:29:33.275000
1084,136,2015-08-22T09:30:32.042000
947,169,2015-08-22T09:31:30.811000
1310,268,2015-08-22T09:32:29.579000
1242,240,2015-08-22T09:33:28.343000
1027,191,2015-08-22T09:34:27.110000
991,201,2015-08-22T09:35:25.876000
911,173,2015-08-22T09:36:24.641000
725,129,2015-08-22T09:37:23.408000
554,96,2015-08-22T09:38:22.175000
545,95,2015-08-22T09:39:20.938000
496,84,2015-08-22T09:40:19.702000
779,171,2015-08-22T09:41:18.470000
856,162,2015-08-22T09:42:17.235000
668,110,2015-08-22T09:43:16.003000
388,58,2015-08-22T09:44:14.765000
372,54,2015-08-22T09:45:13.530000
412,46,2015-08-22T09:46:12.297000
500,50,2015-08-22T09:47:11.065000
593,71,2015-08-22T09:48:09.834000
912,102,2015-08-22T09:49:08.605000
855,86,2015-08-22T09:50:07.372000
769,74,2015-08-22T09:51:06.142000
701,59,2015-08-22T09:52:04.907000
850,65,2015-08-22T09:53:03.676000
1229,88,2015-08-22T09:54:02.448000
1081,80,2015-08-22T09:55:01.218000
626,35,2015-08-22T09:55:59.984000
658,59,2015-08-22T09:56:58.754000
956,90,2015-08-22T09:57:57.526000
1167,102,2015-08-22T09:58:56.301000
1345,116,2015-08-22T09:59:55.071000
1713,124,2015-08-22T10:00:53.840000
1587,110,2015-08-22T10:01:52.611000
1571,125,2015-08-22T10:02:51.381000
1289,109,2015-08-22T10:03:50.152000
804,56,2015-08-22T10:04:48.920000
677,49,2015-08-22T10:05:47.692000
655,51,2015-08-22T10:06:46.464000
719,91,2015-08-22T10:07:45.237000
1659,162,2015-08-22T10:08:44.012000
1524,134,2015-08-22T10:09:42.783000
1371,114,2015-08-22T10:10:41.555000
1399,101,2015-08-22T10:11:40.327000
1100,98,2015-08-22T10:12:39.100000
1743,137,2015-08-22T10:13:37.873000
1005,70,2015-08-22T10:14:36.647000
925,63,2015-08-22T10:15:35.418000
767,46,2015-08-22T10:16:34.192000
463,27,2015-08-22T10:17:32.964000
465,31,2015-08-22T10:18:31.740000
444,25,2015-08-22T10:19:30.515000
809,50,2015-08-22T10:20:29.290000
987,63,2015-08-22T10:21:28.065000
1009,82,2015-08-22T10:22:26.839000
985,105,2015-08-22T10:23:25.611000
980,106,2015-08-22T10:24:24.385000
1115,120,2015-08-22T10:25:23.159000
1205,124,2015-08-22T10:26:21.933000
1235,129,2015-08-22T10:27:20.709000
908,99,2015-08-22T10:28:19.478000
409,50,2015-08-22T10:29:18.249000
334,34,2015-08-22T10:30:17.023000
290,37,2015-08-22T10:31:15.798000
256,35,2015-08-22T10:32:14.574000
397,36,2015-08-22T10:33:13.350000
608,48,2015-08-22T10:34:12.127000
801,132,2015-08-22T10:35:10.903000
850,122,2015-08-22T10:36:09.676000
828,105,2015-08-22T10:37:08.452000
