1um,5um,time (iso)
9313,974,2015-08-17T11:56:44.547000
5033,428,2015-08-17T11:57:43.252000
3453,297,2015-08-17T11:58:41.966000
3058,313,2015-08-17T11:59:40.675000
2873,235,2015-08-17T12:00:39.407000
3312,288,2015-08-17T12:01:38.126000
4999,268,2015-08-17T12:02:36.870000
4516,272,2015-08-17T12:03:35.611000
3862,233,2015-08-17T12:04:34.356000
3980,262,2015-08-17T12:05:33.098000
3236,274,2015-08-17T12:06:31.846000
3346,246,2015-08-17T12:07:30.600000
3332,377,2015-08-17T12:08:29.354000
4589,536,2015-08-17T12:09:28.098000
4418,444,2015-08-17T12:10:26.855000
4039,453,2015-08-17T12:11:25.611000
5130,683,2015-08-17T12:12:24.368000
4002,405,2015-08-17T12:13:23.124000
3377,286,2015-08-17T12:14:21.885000
2502,171,2015-08-17T12:15:20.647000
2691,170,2015-08-17T12:16:19.409000
2108,124,2015-08-17T12:17:18.179000
1693,109,2015-08-17T12:18:16.945000
1479,104,2015-08-17T12:19:15.707000
1423,85,2015-08-17T12:20:14.463000
1098,67,2015-08-17T12:21:13.234000
1217,87,2015-08-17T12:22:12.006000
983,62,2015-08-17T12:23:10.770000
790,45,2015-08-17T12:24:09.534000
1100,165,2015-08-17T12:25:08.302000
1072,160,2015-08-17T12:26:07.059000
992,159,2015-08-17T12:27:05.827000
962,168,2015-08-17T12:28:04.613000
691,91,2015-08-17T12:29:03.377000
755,100,2015-08-17T12:30:02.144000
545,60,2015-08-17T12:31:00.903000
847,188,2015-08-17T12:31:59.670000
823,176,2015-08-17T12:32:58.439000
595,110,2015-08-17T12:33:57.214000
581,108,2015-08-17T12:34:55.981000
721,162,2015-08-17T12:35:54.757000
637,116,2015-08-17T12:36:53.518000
440,63,2015-08-17T12:37:52.293000
419,57,2015-08-17T12:38:51.060000
387,48,2015-08-17T12:39:49.833000
367,41,2015-08-17T12:40:48.589000
312,30,2015-08-17T12:41:47.367000
325,27,2015-08-17T12:42:46.126000
289,16,2015-08-17T12:43:44.910000
285,22,2015-08-17T12:44:43.667000
276,16,2015-08-17T12:45:42.439000
282,17,2015-08-17T12:46:41.216000
270,14,2015-08-17T12:47:39.981000
268,14,2015-08-17T12:48:38.763000
257,14,2015-08-17T12:49:37.527000
270,14,2015-08-17T12:50:36.301000
244,12,2015-08-17T12:51:35.074000
239,13,2015-08-17T12:52:33.844000
241,11,2015-08-17T12:53:32.613000
242,10,2015-08-17T12:54:31.377000
232,9,2015-08-17T12:55:30.143000
324,38,2015-08-17T12:56:28.910000
414,81,2015-08-17T12:57:27.684000
737,186,2015-08-17T12:58:26.441000
614,128,2015-08-17T12:59:25.219000
463,81,2015-08-17T13:00:23.981000
369,34,2015-08-17T13:01:22.754000
369,32,2015-08-17T13:02:21.530000
334,25,2015-08-17T13:03:20.291000
339,20,2015-08-17T13:04:19.054000
341,25,2015-08-17T13:05:17.825000
330,27,2015-08-17T13:06:16.586000
328,29,2015-08-17T13:07:15.359000
395,50,2015-08-17T13:08:14.127000
375,45,2015-08-17T13:09:12.899000
369,42,2015-08-17T13:10:11.654000
403,50,2015-08-17T13:11:10.431000
375,37,2015-08-17T13:12:09.201000
370,40,2015-08-17T13:13:07.965000
359,35,2015-08-17T13:14:06.733000
338,31,2015-08-17T13:15:05.501000
348,32,2015-08-17T13:16:04.270000
343,30,2015-08-17T13:17:03.041000
318,26,2015-08-17T13:18:01.801000
291,21,2015-08-17T13:19:00.573000
298,21,2015-08-17T13:19:59.347000
297,22,2015-08-17T13:20:58.113000
302,18,2015-08-17T13:21:56.874000
301,17,2015-08-17T13:22:55.643000
316,24,2015-08-17T13:23:54.418000
329,26,2015-08-17T13:24:53.176000
305,21,2015-08-17T13:25:51.944000
278,17,2015-08-17T13:26:50.723000
283,18,2015-08-17T13:27:49.493000
293,19,2015-08-17T13:28:48.252000
344,33,2015-08-17T13:29:47.032000
285,19,2015-08-17T13:30:45.803000
272,16,2015-08-17T13:31:44.569000
276,15,2015-08-17T13:32:43.338000
263,15,2015-08-17T13:33:42.102000
253,12,2015-08-17T13:34:40.878000
264,13,2015-08-17T13:35:39.654000
324,33,2015-08-17T13:36:38.418000
346,50,2015-08-17T13:37:37.192000
292,31,2015-08-17T13:38:35.962000
260,21,2015-08-17T13:39:34.738000
259,17,2015-08-17T13:40:33.515000
240,10,2015-08-17T13:41:32.281000
249,14,2015-08-17T13:42:31.053000
241,11,2015-08-17T13:43:29.820000
244,13,2015-08-17T13:44:28.607000
324,35,2015-08-17T13:45:27.377000
456,80,2015-08-17T13:46:26.156000
307,35,2015-08-17T13:47:24.931000
305,30,2015-08-17T13:48:23.695000
262,21,2015-08-17T13:49:22.475000
254,13,2015-08-17T13:50:21.236000
254,15,2015-08-17T13:51:20.011000
241,15,2015-08-17T13:52:18.799000
243,18,2015-08-17T13:53:17.570000
257,18,2015-08-17T13:54:16.329000
313,38,2015-08-17T13:55:15.113000
292,27,2015-08-17T13:56:13.889000
