P2 ratio,P1 ratio,0.5um,1um,time (iso)
18.74,0.94,11627.43,166.71,2015-08-15T16:24:34.868000
20.39,5.39,12655.20,3344.11,2015-08-15T16:25:36.906000
16.11,3.55,9995.11,1060.41,2015-08-15T16:26:39.146000
16.10,1.93,9989.40,512.78,2015-08-15T16:27:41.615000
17.55,2.07,10893.40,566.86,2015-08-15T16:28:43.346000
18.02,1.96,11181.75,522.68,2015-08-15T16:29:45.945000
16.13,1.30,10010.74,280.16,2015-08-15T16:30:48.746000
13.00,2.14,8069.35,595.89,2015-08-15T16:31:52.411000
12.69,0.80,7873.52,127.34,2015-08-15T16:32:54.477000
16.05,2.16,9963.49,600.72,2015-08-15T16:33:56.991000
13.02,1.30,8078.15,281.62,2015-08-15T16:34:59.353000
12.70,1.85,7881.16,482.72,2015-08-15T16:36:02.441000
15.93,0.97,9888.37,173.87,2015-08-15T16:37:04.974000
11.10,1.34,6887.54,293.77,2015-08-15T16:38:08.426000
15.62,1.77,9696.55,450.51,2015-08-15T16:39:11.063000
15.32,1.75,9507.76,444.38,2015-08-15T16:40:13.044000
13.57,1.42,8419.96,320.73,2015-08-15T16:41:14.976000
10.96,1.30,6803.38,279.32,2015-08-15T16:42:17.203000
9.22,0.94,5719.71,166.65,2015-08-15T16:43:19.237000
55.21,13.12,34262.20,8139.62,2015-08-15T16:44:21.026000
20.30,15.87,12596.32,9848.00,2015-08-15T16:45:23.015000
13.30,1.04,8252.78,194.86,2015-08-15T16:46:25.234000
10.81,1.10,6709.58,213.11,2015-08-15T16:47:27.240000
10.17,1.25,6311.69,263.60,2015-08-15T16:48:29.213000
16.76,0.96,10403.44,172.18,2015-08-15T16:49:31.177000
16.38,2.99,10163.21,905.36,2015-08-15T16:50:33.773000
17.15,2.63,10641.93,782.16,2015-08-15T16:51:36.553000
14.71,4.68,9131.14,2905.13,2015-08-15T16:52:39.657000
16.76,2.34,10403.42,673.27,2015-08-15T16:53:43.334000
15.73,3.57,9764.55,1064.57,2015-08-15T16:54:45.134000
13.27,2.64,8235.45,782.37,2015-08-15T16:55:46.841000
11.20,4.46,6952.36,2765.82,2015-08-15T16:56:49.400000
10.68,4.09,6629.77,2536.29,2015-08-15T16:57:51.598000
11.27,1.46,6996.33,334.15,2015-08-15T16:58:53.956000
11.09,2.93,6883.86,884.34,2015-08-15T16:59:56.879000
11.09,2.81,6882.37,843.36,2015-08-15T17:00:59.307000
11.78,0.73,7311.24,111.23,2015-08-15T17:02:01.317000
9.63,1.40,5976.59,314.68,2015-08-15T17:03:03.982000
12.51,1.69,7761.81,419.40,2015-08-15T17:04:07.204000
12.09,0.60,7500.98,80.10,2015-08-15T17:05:10.246000
10.61,1.25,6584.72,263.74,2015-08-15T17:06:12.518000
10.55,0.73,6547.94,109.88,2015-08-15T17:07:15.810000
9.46,0.39,5870.83,42.01,2015-08-15T17:08:17.857000
11.27,0.52,6996.61,65.09,2015-08-15T17:09:19.699000
10.33,0.63,6412.12,87.28,2015-08-15T17:10:21.488000
10.07,0.61,6248.07,82.36,2015-08-15T17:11:24.784000
10.32,2.71,6403.39,809.16,2015-08-15T17:12:27.646000
9.91,1.08,6152.00,208.04,2015-08-15T17:13:31.342000
12.07,0.68,7488.99,99.94,2015-08-15T17:14:33.492000
12.07,2.34,7491.47,672.45,2015-08-15T17:15:37.721000
12.38,0.42,7685.67,46.72,2015-08-15T17:16:40.735000
11.48,0.89,7121.55,152.12,2015-08-15T17:17:42.941000
10.12,1.15,6281.08,230.14,2015-08-15T17:18:45.070000
10.13,0.89,6288.62,152.87,2015-08-15T17:19:48.387000
11.50,0.93,7135.92,163.51,2015-08-15T17:20:51.740000
13.40,0.39,8315.05,40.91,2015-08-15T17:21:54.630000
