1um,5um,time (iso)
608,120,2015-08-16T09:31:27.828000
612,108,2015-08-16T09:32:26.505000
534,104,2015-08-16T09:33:25.194000
464,92,2015-08-16T09:34:23.893000
460,76,2015-08-16T09:35:22.599000
321,47,2015-08-16T09:36:21.315000
372,68,2015-08-16T09:37:20.036000
779,157,2015-08-16T09:38:18.767000
664,124,2015-08-16T09:39:17.499000
543,100,2015-08-16T09:40:16.233000
403,73,2015-08-16T09:41:14.975000
310,44,2015-08-16T09:42:13.722000
501,110,2015-08-16T09:43:12.472000
275,36,2015-08-16T09:44:11.223000
351,64,2015-08-16T09:45:09.977000
517,105,2015-08-16T09:46:08.731000
414,68,2015-08-16T09:47:07.490000
2006,327,2015-08-16T09:48:06.248000
1412,235,2015-08-16T09:49:05.009000
832,109,2015-08-16T09:50:03.766000
1049,119,2015-08-16T09:51:02.526000
957,103,2015-08-16T09:52:01.282000
1114,132,2015-08-16T09:53:00.047000
1384,179,2015-08-16T09:53:58.807000
1574,190,2015-08-16T09:54:57.570000
994,118,2015-08-16T09:55:56.330000
1120,132,2015-08-16T09:56:55.093000
1044,117,2015-08-16T09:57:53.852000
1340,155,2015-08-16T09:58:52.609000
1064,111,2015-08-16T09:59:51.371000
750,67,2015-08-16T10:00:50.130000
1195,169,2015-08-16T10:01:48.894000
2781,214,2015-08-16T10:02:47.656000
1540,106,2015-08-16T10:03:46.421000
1455,97,2015-08-16T10:04:45.182000
884,72,2015-08-16T10:05:43.945000
817,75,2015-08-16T10:06:42.708000
784,79,2015-08-16T10:07:41.470000
698,97,2015-08-16T10:08:40.232000
689,94,2015-08-16T10:09:38.995000
539,65,2015-08-16T10:10:37.759000
519,65,2015-08-16T10:11:36.523000
499,81,2015-08-16T10:12:35.287000
587,105,2015-08-16T10:13:34.051000
516,75,2015-08-16T10:14:32.815000
484,64,2015-08-16T10:15:31.579000
734,85,2015-08-16T10:16:30.345000
836,91,2015-08-16T10:17:29.111000
1125,110,2015-08-16T10:18:27.880000
1041,104,2015-08-16T10:19:26.646000
1243,133,2015-08-16T10:20:25.408000
1215,140,2015-08-16T10:21:24.173000
1105,83,2015-08-16T10:22:22.936000
999,82,2015-08-16T10:23:21.699000
817,86,2015-08-16T10:24:20.464000
666,68,2015-08-16T10:25:19.228000
643,61,2015-08-16T10:26:17.992000
1061,82,2015-08-16T10:27:16.758000
708,65,2015-08-16T10:28:15.522000
674,62,2015-08-16T10:29:14.288000
508,62,2015-08-16T10:30:13.054000
603,75,2015-08-16T10:31:11.819000
646,95,2015-08-16T10:32:10.587000
718,103,2015-08-16T10:33:09.356000
414,50,2015-08-16T10:34:08.124000
318,32,2015-08-16T10:35:06.892000
663,68,2015-08-16T10:36:05.660000
718,87,2015-08-16T10:37:04.429000
1487,147,2015-08-16T10:38:03.199000
2036,168,2015-08-16T10:39:01.970000
1442,137,2015-08-16T10:40:00.740000
1235,125,2015-08-16T10:40:59.512000
1104,116,2015-08-16T10:41:58.286000
1262,128,2015-08-16T10:42:57.057000
755,61,2015-08-16T10:43:55.826000
642,68,2015-08-16T10:44:54.598000
375,29,2015-08-16T10:45:53.372000
548,37,2015-08-16T10:46:52.147000
501,65,2015-08-16T10:47:50.922000
453,44,2015-08-16T10:48:49.697000
895,73,2015-08-16T10:49:48.471000
813,62,2015-08-16T10:50:47.248000
905,69,2015-08-16T10:51:46.024000
774,60,2015-08-16T10:52:44.801000
580,68,2015-08-16T10:53:43.578000
830,126,2015-08-16T10:54:42.356000
785,100,2015-08-16T10:55:41.129000
445,49,2015-08-16T10:56:39.905000
659,102,2015-08-16T10:57:38.683000
531,57,2015-08-16T10:58:37.458000
351,30,2015-08-16T10:59:36.236000
436,34,2015-08-16T11:00:35.016000
474,43,2015-08-16T11:01:33.798000
512,61,2015-08-16T11:02:32.579000
534,64,2015-08-16T11:03:31.360000
324,37,2015-08-16T11:04:30.139000
361,25,2015-08-16T11:05:28.919000
379,49,2015-08-16T11:06:27.700000
437,63,2015-08-16T11:07:26.480000
377,44,2015-08-16T11:08:25.261000
398,45,2015-08-16T11:09:24.039000
321,36,2015-08-16T11:10:22.817000
295,36,2015-08-16T11:11:21.597000
275,39,2015-08-16T11:12:20.378000
308,53,2015-08-16T11:13:19.159000
371,80,2015-08-16T11:14:17.939000
443,89,2015-08-16T11:15:16.721000
332,38,2015-08-16T11:16:15.503000
382,41,2015-08-16T11:17:14.290000
709,143,2015-08-16T11:18:13.075000
1028,245,2015-08-16T11:19:11.862000
510,84,2015-08-16T11:20:10.645000
505,70,2015-08-16T11:21:09.427000
1064,126,2015-08-16T11:22:08.214000
610,64,2015-08-16T11:23:06.991000
