1um,5um,time (iso)
3385,461,2015-08-23T10:11:23.617000
2753,295,2015-08-23T10:12:22.384000
1799,79,2015-08-23T10:13:21.149000
1349,53,2015-08-23T10:14:19.917000
807,30,2015-08-23T10:15:18.682000
727,29,2015-08-23T10:16:17.450000
600,34,2015-08-23T10:17:16.215000
546,31,2015-08-23T10:18:14.985000
587,60,2015-08-23T10:19:13.754000
1556,280,2015-08-23T10:20:12.526000
1929,270,2015-08-23T10:21:11.295000
1813,241,2015-08-23T10:22:10.064000
1257,163,2015-08-23T10:23:08.836000
1927,417,2015-08-23T10:24:07.606000
1340,277,2015-08-23T10:25:06.377000
1344,237,2015-08-23T10:26:05.148000
1477,256,2015-08-23T10:27:03.918000
1495,307,2015-08-23T10:28:02.687000
1004,162,2015-08-23T10:29:01.457000
836,120,2015-08-23T10:30:00.227000
2144,438,2015-08-23T10:30:58.999000
2478,502,2015-08-23T10:31:57.770000
3240,688,2015-08-23T10:32:56.540000
2459,450,2015-08-23T10:33:55.310000
2000,357,2015-08-23T10:34:54.080000
1382,208,2015-08-23T10:35:52.850000
1191,206,2015-08-23T10:36:51.618000
836,118,2015-08-23T10:37:50.384000
899,142,2015-08-23T10:38:49.154000
890,155,2015-08-23T10:39:47.923000
1318,313,2015-08-23T10:40:46.693000
1114,274,2015-08-23T10:41:45.465000
1059,249,2015-08-23T10:42:44.236000
825,170,2015-08-23T10:43:43.006000
782,171,2015-08-23T10:44:41.778000
795,174,2015-08-23T10:45:40.549000
526,108,2015-08-23T10:46:39.322000
369,67,2015-08-23T10:47:38.093000
380,66,2015-08-23T10:48:36.867000
458,90,2015-08-23T10:49:35.640000
306,58,2015-08-23T10:50:34.413000
286,51,2015-08-23T10:51:33.184000
290,54,2015-08-23T10:52:31.956000
475,104,2015-08-23T10:53:30.731000
392,70,2015-08-23T10:54:29.500000
329,44,2015-08-23T10:55:28.274000
1284,331,2015-08-23T10:56:27.049000
1299,337,2015-08-23T10:57:25.821000
957,224,2015-08-23T10:58:24.591000
1280,315,2015-08-23T10:59:23.366000
1581,408,2015-08-23T11:00:22.140000
1744,475,2015-08-23T11:01:20.915000
887,213,2015-08-23T11:02:19.686000
753,177,2015-08-23T11:03:18.458000
1823,472,2015-08-23T11:04:17.234000
2256,586,2015-08-23T11:05:16.008000
1310,309,2015-08-23T11:06:14.782000
995,215,2015-08-23T11:07:13.555000
748,151,2015-08-23T11:08:12.329000
600,118,2015-08-23T11:09:11.102000
447,88,2015-08-23T11:10:09.876000
451,94,2015-08-23T11:11:08.652000
439,93,2015-08-23T11:12:07.429000
376,79,2015-08-23T11:13:06.206000
701,175,2015-08-23T11:14:04.985000
436,79,2015-08-23T11:15:03.761000
459,56,2015-08-23T11:16:02.539000
597,64,2015-08-23T11:17:01.315000
525,58,2015-08-23T11:18:00.093000
464,65,2015-08-23T11:18:58.872000
802,112,2015-08-23T11:19:57.648000
1531,140,2015-08-23T11:20:56.427000
2017,151,2015-08-23T11:21:55.204000
1772,162,2015-08-23T11:22:53.981000
1169,120,2015-08-23T11:23:52.757000
1097,112,2015-08-23T11:24:51.533000
924,95,2015-08-23T11:25:50.307000
662,70,2015-08-23T11:26:49.085000
559,71,2015-08-23T11:27:47.860000
458,58,2015-08-23T11:28:46.635000
475,66,2015-08-23T11:29:45.410000
577,86,2015-08-23T11:30:44.187000
685,86,2015-08-23T11:31:42.962000
721,84,2015-08-23T11:32:41.738000
563,74,2015-08-23T11:33:40.512000
422,46,2015-08-23T11:34:39.290000
770,90,2015-08-23T11:35:38.065000
912,104,2015-08-23T11:36:36.843000
1138,135,2015-08-23T11:37:35.622000
970,115,2015-08-23T11:38:34.397000
796,94,2015-08-23T11:39:33.174000
630,95,2015-08-23T11:40:31.951000
480,68,2015-08-23T11:41:30.729000
409,50,2015-08-23T11:42:29.506000
461,60,2015-08-23T11:43:28.285000
682,103,2015-08-23T11:44:27.065000
891,144,2015-08-23T11:45:25.843000
1182,184,2015-08-23T11:46:24.623000
1332,237,2015-08-23T11:47:23.400000
1877,421,2015-08-23T11:48:22.177000
1463,312,2015-08-23T11:49:20.957000
1063,227,2015-08-23T11:50:19.736000
851,183,2015-08-23T11:51:18.512000
708,152,2015-08-23T11:52:17.288000
465,95,2015-08-23T11:53:16.062000
