P2 ratio,P1 ratio,0.5um,1um,time (iso)
44.64,9.56,27705.52,5935.83,2015-08-22T16:29:50.406000
29.81,4.60,18500.80,2854.21,2015-08-22T16:30:53.931000
36.15,24.28,22432.63,15066.20,2015-08-22T16:31:55.667000
21.27,3.08,13203.33,934.84,2015-08-22T16:32:57.599000
16.01,3.05,9938.14,924.67,2015-08-22T16:33:59.367000
38.81,42.35,24083.59,26280.34,2015-08-22T16:35:01.303000
28.02,27.93,17388.77,17335.91,2015-08-22T16:36:03.248000
15.61,11.23,9687.26,6966.52,2015-08-22T16:37:05.351000
36.88,23.94,22889.82,14859.45,2015-08-22T16:38:07.464000
25.05,8.94,15548.31,5545.22,2015-08-22T16:39:09.604000
26.25,9.01,16289.57,5593.94,2015-08-22T16:40:11.590000
14.44,4.11,8964.07,2550.92,2015-08-22T16:41:13.555000
14.64,10.96,9088.04,6803.27,2015-08-22T16:42:15.315000
45.93,12.30,28503.07,7636.08,2015-08-22T16:43:17.263000
24.11,23.89,14962.33,14825.03,2015-08-22T16:44:19.904000
16.76,5.17,10402.90,3209.18,2015-08-22T16:45:21.738000
10.78,0.55,6691.51,70.30,2015-08-22T16:46:25.099000
16.36,3.03,10155.30,919.78,2015-08-22T16:47:26.900000
24.13,17.55,14973.67,10891.61,2015-08-22T16:48:29.172000
20.78,16.85,12896.91,10455.30,2015-08-22T16:49:32.619000
25.59,8.58,15882.50,5322.48,2015-08-22T16:50:35.719000
24.39,4.82,15134.41,2993.69,2015-08-22T16:51:37.815000
17.24,9.48,10700.44,5883.89,2015-08-22T16:52:40.234000
19.66,10.90,12199.67,6762.48,2015-08-22T16:53:43.555000
27.59,4.89,17125.59,3036.63,2015-08-22T16:54:46.072000
31.81,7.84,19744.60,4866.69,2015-08-22T16:55:47.980000
35.38,16.21,21957.30,10062.92,2015-08-22T16:56:50.248000
36.32,29.62,22537.69,18384.62,2015-08-22T16:57:52.070000
48.25,16.97,29942.26,10529.28,2015-08-22T16:58:54.116000
48.86,36.99,30320.89,22956.39,2015-08-22T16:59:55.991000
24.01,8.67,14898.00,5382.53,2015-08-22T17:00:58.107000
23.92,6.58,14844.73,4084.49,2015-08-22T17:01:59.970000
31.57,2.48,19589.96,724.03,2015-08-22T17:03:02.680000
48.76,29.22,30262.28,18133.91,2015-08-22T17:04:04.428000
28.53,7.35,17707.33,4560.60,2015-08-22T17:05:06.957000
51.22,15.86,31786.18,9844.30,2015-08-22T17:06:09.086000
14.75,15.52,9154.56,9633.51,2015-08-22T17:07:12.255000
27.95,19.70,17348.67,12224.67,2015-08-22T17:08:15.133000
14.32,18.41,8885.70,11427.80,2015-08-22T17:09:16.885000
9.04,2.53,5608.67,745.11,2015-08-22T17:10:18.870000
22.17,0.55,13761.11,70.31,2015-08-22T17:11:21.622000
19.93,20.08,12368.68,12462.20,2015-08-22T17:12:23.452000
24.64,24.83,15291.29,15406.96,2015-08-22T17:13:26.272000
25.70,16.50,15948.67,10238.91,2015-08-22T17:14:28.169000
38.61,12.58,23959.90,7806.18,2015-08-22T17:15:30.325000
40.91,2.65,25389.97,787.17,2015-08-22T17:16:33.268000
19.43,18.04,12056.97,11194.29,2015-08-22T17:17:35.909000
18.83,1.52,11685.42,358.06,2015-08-22T17:18:37.739000
16.92,0.98,10503.35,178.33,2015-08-22T17:19:41.588000
38.48,7.17,23880.13,4447.11,2015-08-22T17:20:43.843000
23.57,5.03,14630.63,3124.50,2015-08-22T17:21:45.751000
21.80,10.85,13528.70,6731.29,2015-08-22T17:22:47.752000
20.31,5.31,12605.54,3296.43,2015-08-22T17:23:49.406000
21.08,7.26,13083.57,4503.67,2015-08-22T17:24:51.133000
54.70,21.32,33949.52,13233.03,2015-08-22T17:25:53.024000
52.49,41.12,32574.13,25519.41,2015-08-22T17:26:55.103000
52.81,34.09,32774.50,21155.42,2015-08-22T17:27:57.031000
53.44,31.02,33167.65,19249.77,2015-08-22T17:28:58.722000
51.78,37.17,32135.03,23065.42,2015-08-22T17:30:00.531000
29.22,32.14,18133.87,19946.85,2015-08-22T17:31:02.340000
39.32,21.75,24405.35,13495.46,2015-08-22T17:32:04.792000
32.75,17.14,20326.34,10638.73,2015-08-22T17:33:06.479000
18.74,20.13,11632.62,12490.01,2015-08-22T17:34:08.353000
51.71,12.78,32094.20,7929.87,2015-08-22T17:35:10.159000
