1um,5um,time (iso)
1761,235,2015-08-16T11:24:05.776000
1500,150,2015-08-16T11:25:04.559000
1114,102,2015-08-16T11:26:03.340000
1956,274,2015-08-16T11:27:02.123000
736,66,2015-08-16T11:28:00.905000
1071,136,2015-08-16T11:28:59.691000
607,54,2015-08-16T11:29:58.474000
731,37,2015-08-16T11:30:57.259000
2413,65,2015-08-16T11:31:56.049000
1813,65,2015-08-16T11:32:54.836000
1129,69,2015-08-16T11:33:53.625000
673,38,2015-08-16T11:34:52.413000
917,78,2015-08-16T11:35:51.203000
498,33,2015-08-16T11:36:49.992000
1481,212,2015-08-16T11:37:48.780000
1642,200,2015-08-16T11:38:47.567000
770,77,2015-08-16T11:39:46.352000
1297,72,2015-08-16T11:40:45.143000
2391,105,2015-08-16T11:41:43.937000
2677,161,2015-08-16T11:42:42.730000
2178,97,2015-08-16T11:43:41.520000
2610,121,2015-08-16T11:44:40.315000
1550,92,2015-08-16T11:45:39.102000
1453,93,2015-08-16T11:46:37.892000
1446,84,2015-08-16T11:47:36.681000
543,60,2015-08-16T11:48:35.467000
556,41,2015-08-16T11:49:34.257000
1317,292,2015-08-16T11:50:33.048000
984,145,2015-08-16T11:51:31.835000
1129,178,2015-08-16T11:52:30.626000
781,121,2015-08-16T11:53:29.413000
1574,110,2015-08-16T11:54:28.205000
588,40,2015-08-16T11:55:26.992000
1261,100,2015-08-16T11:56:25.783000
1276,123,2015-08-16T11:57:24.572000
542,46,2015-08-16T11:58:23.359000
495,39,2015-08-16T11:59:22.152000
483,37,2015-08-16T12:00:20.944000
399,42,2015-08-16T12:01:19.738000
617,97,2015-08-16T12:02:18.530000
493,109,2015-08-16T12:03:17.325000
621,155,2015-08-16T12:04:16.118000
485,109,2015-08-16T12:05:14.910000
230,34,2015-08-16T12:06:13.701000
878,196,2015-08-16T12:07:12.492000
572,132,2015-08-16T12:08:11.282000
296,52,2015-08-16T12:09:10.067000
1030,283,2015-08-16T12:10:08.857000
281,52,2015-08-16T12:11:07.649000
449,104,2015-08-16T12:12:06.439000
377,72,2015-08-16T12:13:05.230000
403,80,2015-08-16T12:14:04.024000
227,31,2015-08-16T12:15:02.816000
732,185,2015-08-16T12:16:01.609000
745,188,2015-08-16T12:17:00.400000
378,70,2015-08-16T12:17:59.192000
453,98,2015-08-16T12:18:57.986000
283,50,2015-08-16T12:19:56.779000
293,52,2015-08-16T12:20:55.573000
409,91,2015-08-16T12:21:54.363000
389,89,2015-08-16T12:22:53.156000
206,27,2015-08-16T12:23:51.950000
206,24,2015-08-16T12:24:50.740000
534,92,2015-08-16T12:25:49.533000
1614,270,2015-08-16T12:26:48.327000
795,110,2015-08-16T12:27:47.120000
636,78,2015-08-16T12:28:45.916000
541,93,2015-08-16T12:29:44.713000
753,164,2015-08-16T12:30:43.507000
584,107,2015-08-16T12:31:42.304000
426,75,2015-08-16T12:32:41.094000
311,41,2015-08-16T12:33:39.887000
238,29,2015-08-16T12:34:38.679000
278,29,2015-08-16T12:35:37.470000
267,26,2015-08-16T12:36:36.263000
291,52,2015-08-16T12:37:35.056000
301,53,2015-08-16T12:38:33.853000
246,27,2015-08-16T12:39:32.647000
242,34,2015-08-16T12:40:31.441000
247,42,2015-08-16T12:41:30.235000
337,81,2015-08-16T12:42:29.027000
502,128,2015-08-16T12:43:27.821000
330,77,2015-08-16T12:44:26.615000
364,77,2015-08-16T12:45:25.405000
295,57,2015-08-16T12:46:24.195000
291,52,2015-08-16T12:47:22.986000
233,34,2015-08-16T12:48:21.777000
205,28,2015-08-16T12:49:20.565000
145,12,2015-08-16T12:50:19.358000
148,11,2015-08-16T12:51:18.148000
155,11,2015-08-16T12:52:16.940000
133,11,2015-08-16T12:53:15.732000
125,8,2015-08-16T12:54:14.522000
130,9,2015-08-16T12:55:13.312000
121,5,2015-08-16T12:56:12.099000
