P2 ratio,P1 ratio,0.5um,1um,time (iso)
23.38,8.32,14510.41,5160.92,2015-08-18T10:17:51.508000
17.91,3.01,11116.84,912.53,2015-08-18T10:18:53.947000
19.27,2.68,11962.20,799.15,2015-08-18T10:19:56.302000
18.97,3.73,11770.30,1095.84,2015-08-18T10:20:58.545000
18.09,6.80,11224.93,4220.78,2015-08-18T10:22:00.309000
27.43,5.64,17024.01,3497.66,2015-08-18T10:23:03.007000
31.59,9.97,19602.50,6190.09,2015-08-18T10:24:05.111000
37.07,10.48,23008.02,6502.28,2015-08-18T10:25:07.539000
34.55,13.12,21442.75,8141.85,2015-08-18T10:26:09.634000
28.48,12.69,17673.18,7873.30,2015-08-18T10:27:11.550000
25.14,5.41,15600.27,3360.53,2015-08-18T10:28:13.949000
21.33,6.30,13235.49,3911.38,2015-08-18T10:29:16.577000
30.12,6.32,18695.50,3919.69,2015-08-18T10:30:18.796000
22.49,5.90,13954.91,3660.81,2015-08-18T10:31:20.691000
27.82,4.99,17262.75,3094.32,2015-08-18T10:32:23.110000
29.49,7.23,18299.94,4485.41,2015-08-18T10:33:24.936000
32.85,13.19,20388.25,8185.25,2015-08-18T10:34:26.905000
22.07,12.25,13697.96,7602.98,2015-08-18T10:35:29.214000
21.18,5.09,13141.72,3159.94,2015-08-18T10:36:30.896000
18.48,3.53,11470.56,1055.76,2015-08-18T10:37:33.048000
15.01,3.11,9313.82,944.17,2015-08-18T10:38:35.002000
15.45,2.01,9590.69,543.03,2015-08-18T10:39:36.974000
15.32,3.65,9509.69,1079.91,2015-08-18T10:40:39.332000
14.25,1.12,8843.31,221.78,2015-08-18T10:41:42.096000
14.14,1.59,8775.22,382.14,2015-08-18T10:42:44.629000
15.08,1.98,9361.63,530.35,2015-08-18T10:43:47.205000
13.59,5.13,8432.48,3185.94,2015-08-18T10:44:50.095000
21.03,2.91,13048.75,879.36,2015-08-18T10:45:52.215000
21.01,3.17,13036.62,960.31,2015-08-18T10:46:54.279000
24.87,6.19,15436.55,3839.58,2015-08-18T10:47:56.865000
36.52,11.41,22664.17,7083.40,2015-08-18T10:48:58.753000
41.42,13.03,25703.35,8089.43,2015-08-18T10:50:00.836000
39.79,16.13,24693.88,10011.21,2015-08-18T10:51:02.608000
40.81,21.57,25328.41,13387.03,2015-08-18T10:52:04.418000
37.25,14.49,23119.26,8993.71,2015-08-18T10:53:06.370000
32.13,14.29,19938.41,8871.39,2015-08-18T10:54:08.150000
29.67,10.82,18415.14,6713.89,2015-08-18T10:55:10.243000
33.38,11.37,20716.75,7054.53,2015-08-18T10:56:12.243000
35.89,16.01,22272.47,9935.92,2015-08-18T10:57:14.393000
31.37,12.11,19469.23,7516.17,2015-08-18T10:58:16.563000
31.12,12.50,19315.18,7756.80,2015-08-18T10:59:18.523000
31.79,11.22,19728.86,6960.99,2015-08-18T11:00:20.344000
24.85,8.13,15422.93,5045.61,2015-08-18T11:01:22.658000
20.51,4.18,12731.71,2591.34,2015-08-18T11:02:24.585000
18.78,4.70,11657.24,2918.18,2015-08-18T11:03:26.885000
16.52,3.52,10252.71,1052.51,2015-08-18T11:04:29.879000
17.96,1.51,11148.88,354.10,2015-08-18T11:05:31.610000
15.96,2.98,9905.99,902.77,2015-08-18T11:06:34.480000
16.56,1.94,10277.53,515.63,2015-08-18T11:07:36.440000
14.56,2.11,9033.34,582.17,2015-08-18T11:08:39.172000
15.24,2.41,9460.46,698.77,2015-08-18T11:09:40.915000
15.23,2.51,9454.49,734.85,2015-08-18T11:10:42.937000
22.86,5.30,14188.52,3291.99,2015-08-18T11:11:45.376000
24.46,5.35,15182.23,3320.46,2015-08-18T11:12:47.170000
35.89,9.52,22272.22,5907.52,2015-08-18T11:13:49.077000
28.60,8.02,17747.31,4975.67,2015-08-18T11:14:51.509000
27.27,10.06,16923.81,6245.96,2015-08-18T11:15:54.415000
39.57,16.41,24556.55,10184.22,2015-08-18T11:16:56.540000
33.20,17.55,20606.52,10891.93,2015-08-18T11:17:58.562000
36.11,12.53,22410.41,7773.96,2015-08-18T11:19:00.473000
34.32,15.27,21296.68,9475.96,2015-08-18T11:20:02.320000
