1um,5um,time (iso)
1289,186,2015-08-23T17:16:36.504000
1065,141,2015-08-23T17:17:35.285000
1190,132,2015-08-23T17:18:34.064000
1265,137,2015-08-23T17:19:32.844000
1493,142,2015-08-23T17:20:31.622000
1468,173,2015-08-23T17:21:30.401000
1378,179,2015-08-23T17:22:29.182000
1128,144,2015-08-23T17:23:27.962000
1043,151,2015-08-23T17:24:26.740000
952,144,2015-08-23T17:25:25.518000
839,122,2015-08-23T17:26:24.299000
811,110,2015-08-23T17:27:23.080000
755,104,2015-08-23T17:28:21.860000
603,73,2015-08-23T17:29:20.638000
425,58,2015-08-23T17:30:19.417000
337,50,2015-08-23T17:31:18.196000
281,34,2015-08-23T17:32:16.975000
230,28,2015-08-23T17:33:15.754000
201,28,2015-08-23T17:34:14.535000
296,50,2015-08-23T17:35:13.313000
241,38,2015-08-23T17:36:12.094000
248,43,2015-08-23T17:37:10.874000
297,56,2015-08-23T17:38:09.654000
311,53,2015-08-23T17:39:08.436000
351,61,2015-08-23T17:40:07.217000
288,48,2015-08-23T17:41:05.996000
304,55,2015-08-23T17:42:04.776000
317,57,2015-08-23T17:43:03.555000
355,56,2015-08-23T17:44:02.335000
424,72,2015-08-23T17:45:01.115000
453,65,2015-08-23T17:45:59.896000
524,74,2015-08-23T17:46:58.677000
899,85,2015-08-23T17:47:57.456000
2407,102,2015-08-23T17:48:56.237000
4441,185,2015-08-23T17:49:55.015000
4483,207,2015-08-23T17:50:53.793000
4667,229,2015-08-23T17:51:52.570000
4350,256,2015-08-23T17:52:51.348000
3620,200,2015-08-23T17:53:50.125000
2838,152,2015-08-23T17:54:48.900000
2000,156,2015-08-23T17:55:47.677000
1613,117,2015-08-23T17:56:46.454000
2328,117,2015-08-23T17:57:45.230000
2579,116,2015-08-23T17:58:44.006000
3362,191,2015-08-23T17:59:42.786000
2712,167,2015-08-23T18:00:41.565000
1906,96,2015-08-23T18:01:40.341000
1852,120,2015-08-23T18:02:39.118000
1484,95,2015-08-23T18:03:37.894000
1222,81,2015-08-23T18:04:36.671000
1536,135,2015-08-23T18:05:35.451000
4399,185,2015-08-23T18:06:34.229000
6272,188,2015-08-23T18:07:33.007000
5583,169,2015-08-23T18:08:31.787000
5161,126,2015-08-23T18:09:30.567000
4702,133,2015-08-23T18:10:29.348000
3995,149,2015-08-23T18:11:28.128000
5227,210,2015-08-23T18:12:26.908000
6551,253,2015-08-23T18:13:25.689000
7127,314,2015-08-23T18:14:24.470000
7356,292,2015-08-23T18:15:23.250000
6971,245,2015-08-23T18:16:22.032000
7629,277,2015-08-23T18:17:20.813000
7041,249,2015-08-23T18:18:19.593000
7916,335,2015-08-23T18:19:18.373000
8131,381,2015-08-23T18:20:17.154000
7699,433,2015-08-23T18:21:15.930000
6205,335,2015-08-23T18:22:14.706000
5015,294,2015-08-23T18:23:13.486000
3976,237,2015-08-23T18:24:12.267000
3086,168,2015-08-23T18:25:11.048000
2762,140,2015-08-23T18:26:09.829000
4111,135,2015-08-23T18:27:08.607000
4603,132,2015-08-23T18:28:07.387000
3814,169,2015-08-23T18:29:06.164000
4373,220,2015-08-23T18:30:04.941000
4201,260,2015-08-23T18:31:03.720000
3752,243,2015-08-23T18:32:02.500000
3646,268,2015-08-23T18:33:01.278000
3558,312,2015-08-23T18:34:00.057000
4940,411,2015-08-23T18:34:58.835000
4425,311,2015-08-23T18:35:57.612000
5396,279,2015-08-23T18:36:56.386000
5058,229,2015-08-23T18:37:55.160000
5539,227,2015-08-23T18:38:53.935000
7715,298,2015-08-23T18:39:52.709000
10946,440,2015-08-23T18:40:51.485000
10610,506,2015-08-23T18:41:50.262000
11154,652,2015-08-23T18:42:49.038000
10039,504,2015-08-23T18:43:47.815000
9949,400,2015-08-23T18:44:46.591000
8086,333,2015-08-23T18:45:45.368000
6917,253,2015-08-23T18:46:44.145000
6369,218,2015-08-23T18:47:42.921000
5876,187,2015-08-23T18:48:41.694000
12153,375,2015-08-23T18:49:40.470000
9349,286,2015-08-23T18:50:39.243000
5396,143,2015-08-23T18:51:38.016000
3448,110,2015-08-23T18:52:36.793000
2939,118,2015-08-23T18:53:35.567000
2990,86,2015-08-23T18:54:34.339000
2697,93,2015-08-23T18:55:33.112000
5239,390,2015-08-23T18:56:31.889000
3654,264,2015-08-23T18:57:30.663000
3237,254,2015-08-23T18:58:29.435000
2699,274,2015-08-23T18:59:28.209000
2657,224,2015-08-23T19:00:26.981000
2603,240,2015-08-23T19:01:25.751000
1838,215,2015-08-23T19:02:24.524000
1285,159,2015-08-23T19:03:23.296000
