1um,5um,time (iso)
748,119,2015-08-18T10:17:39.888000
558,65,2015-08-18T10:18:38.593000
1100,108,2015-08-18T10:19:37.306000
1310,101,2015-08-18T10:20:36.018000
2213,111,2015-08-18T10:21:34.735000
3267,160,2015-08-18T10:22:33.454000
3820,191,2015-08-18T10:23:32.173000
5312,216,2015-08-18T10:24:30.894000
5796,264,2015-08-18T10:25:29.616000
3558,175,2015-08-18T10:26:28.339000
2260,106,2015-08-18T10:27:27.065000
2410,122,2015-08-18T10:28:25.792000
2521,180,2015-08-18T10:29:24.520000
2721,221,2015-08-18T10:30:23.249000
2526,200,2015-08-18T10:31:21.976000
3001,362,2015-08-18T10:32:20.706000
3775,562,2015-08-18T10:33:19.436000
4664,762,2015-08-18T10:34:18.167000
2447,324,2015-08-18T10:35:16.896000
1235,150,2015-08-18T10:36:15.628000
1053,112,2015-08-18T10:37:14.361000
696,85,2015-08-18T10:38:13.094000
604,86,2015-08-18T10:39:11.828000
453,41,2015-08-18T10:40:10.563000
400,40,2015-08-18T10:41:09.297000
391,36,2015-08-18T10:42:08.030000
523,81,2015-08-18T10:43:06.765000
1050,236,2015-08-18T10:44:05.508000
1105,211,2015-08-18T10:45:04.245000
1917,159,2015-08-18T10:46:02.983000
2790,160,2015-08-18T10:47:01.718000
3081,181,2015-08-18T10:48:00.456000
4918,294,2015-08-18T10:48:59.195000
6240,393,2015-08-18T10:49:57.935000
6350,407,2015-08-18T10:50:56.674000
7355,513,2015-08-18T10:51:55.413000
5512,337,2015-08-18T10:52:54.154000
4120,250,2015-08-18T10:53:52.893000
4371,230,2015-08-18T10:54:51.633000
4571,309,2015-08-18T10:55:50.373000
5963,407,2015-08-18T10:56:49.111000
5439,365,2015-08-18T10:57:47.848000
4463,296,2015-08-18T10:58:46.590000
4875,312,2015-08-18T10:59:45.332000
3996,238,2015-08-18T11:00:44.072000
2107,110,2015-08-18T11:01:42.812000
1477,74,2015-08-18T11:02:41.552000
1121,45,2015-08-18T11:03:40.292000
1182,45,2015-08-18T11:04:39.033000
862,40,2015-08-18T11:05:37.772000
725,30,2015-08-18T11:06:36.513000
482,22,2015-08-18T11:07:35.253000
529,23,2015-08-18T11:08:33.993000
515,27,2015-08-18T11:09:32.735000
783,55,2015-08-18T11:10:31.474000
2466,206,2015-08-18T11:11:30.217000
3599,299,2015-08-18T11:12:28.957000
4491,354,2015-08-18T11:13:27.698000
5751,433,2015-08-18T11:14:26.441000
4251,290,2015-08-18T11:15:25.183000
5945,427,2015-08-18T11:16:23.923000
6712,456,2015-08-18T11:17:22.664000
4491,285,2015-08-18T11:18:21.403000
5990,380,2015-08-18T11:19:20.145000
4747,250,2015-08-18T11:20:18.888000
4685,259,2015-08-18T11:21:17.628000
6195,384,2015-08-18T11:22:16.371000
6264,472,2015-08-18T11:23:15.112000
6245,402,2015-08-18T11:24:13.851000
6320,469,2015-08-18T11:25:12.592000
5552,369,2015-08-18T11:26:11.332000
7934,607,2015-08-18T11:27:10.073000
8127,567,2015-08-18T11:28:08.815000
7209,461,2015-08-18T11:29:07.556000
6051,378,2015-08-18T11:30:06.300000
5120,314,2015-08-18T11:31:05.041000
4900,345,2015-08-18T11:32:03.786000
3793,282,2015-08-18T11:33:02.530000
3484,230,2015-08-18T11:34:01.274000
3260,200,2015-08-18T11:35:00.019000
3179,187,2015-08-18T11:35:58.763000
2494,150,2015-08-18T11:36:57.505000
1722,92,2015-08-18T11:37:56.248000
1598,91,2015-08-18T11:38:54.991000
1197,65,2015-08-18T11:39:53.735000
974,51,2015-08-18T11:40:52.477000
856,49,2015-08-18T11:41:51.218000
785,64,2015-08-18T11:42:49.962000
781,48,2015-08-18T11:43:48.705000
886,67,2015-08-18T11:44:47.451000
890,65,2015-08-18T11:45:46.197000
942,55,2015-08-18T11:46:44.941000
924,52,2015-08-18T11:47:43.684000
955,51,2015-08-18T11:48:42.428000
975,61,2015-08-18T11:49:41.173000
957,65,2015-08-18T11:50:39.916000
926,72,2015-08-18T11:51:38.661000
918,62,2015-08-18T11:52:37.407000
904,94,2015-08-18T11:53:36.153000
927,107,2015-08-18T11:54:34.906000
912,95,2015-08-18T11:55:33.652000
1041,90,2015-08-18T11:56:32.400000
1118,129,2015-08-18T11:57:31.147000
1007,202,2015-08-18T11:58:29.894000
977,170,2015-08-18T11:59:28.637000
937,158,2015-08-18T12:00:27.380000
874,184,2015-08-18T12:01:26.126000
828,175,2015-08-18T12:02:24.869000
797,150,2015-08-18T12:03:23.612000
912,182,2015-08-18T12:04:22.357000
865,167,2015-08-18T12:05:21.103000
729,135,2015-08-18T12:06:19.846000
925,211,2015-08-18T12:07:18.592000
2755,978,2015-08-18T12:08:17.338000
1227,355,2015-08-18T12:09:16.081000
