P2 ratio,P1 ratio,0.5um,1um,time (iso)
14.97,3.10,9291.45,940.21,2015-08-22T09:08:55.510000
15.04,1.89,9333.84,497.55,2015-08-22T09:09:58.064000
13.53,0.32,8394.18,30.64,2015-08-22T09:11:00.770000
12.19,1.68,7563.39,418.66,2015-08-22T09:12:03.804000
15.00,0.20,9311.05,15.97,2015-08-22T09:13:05.458000
15.48,2.67,9607.16,796.13,2015-08-22T09:14:08.983000
13.25,3.58,8225.47,1067.22,2015-08-22T09:15:11.862000
13.10,0.80,8133.08,128.51,2015-08-22T09:16:13.667000
16.48,0.90,10230.34,156.66,2015-08-22T09:17:16.332000
16.05,2.17,9957.94,606.82,2015-08-22T09:18:18.288000
21.30,2.00,13218.75,540.06,2015-08-22T09:19:21.368000
16.98,4.06,10539.42,2519.33,2015-08-22T09:20:23.955000
16.91,3.47,10497.30,1040.51,2015-08-22T09:21:26.399000
15.11,1.18,9375.08,239.81,2015-08-22T09:22:28.303000
16.63,0.99,10321.61,181.51,2015-08-22T09:23:30.735000
16.70,2.33,10365.58,668.81,2015-08-22T09:24:33.162000
16.69,2.05,10360.41,558.73,2015-08-22T09:25:35.086000
18.40,1.55,11417.99,367.59,2015-08-22T09:26:37.620000
19.41,3.45,12047.75,1037.56,2015-08-22T09:27:39.388000
16.75,2.88,10393.12,869.48,2015-08-22T09:28:42.602000
16.94,3.32,10515.22,1004.45,2015-08-22T09:29:44.571000
19.77,3.44,12268.84,1033.51,2015-08-22T09:30:47.671000
19.08,2.20,11841.75,616.99,2015-08-22T09:31:50.160000
21.45,4.91,13314.37,3049.30,2015-08-22T09:32:52.677000
17.73,5.69,11001.72,3531.17,2015-08-22T09:33:55.208000
17.83,3.19,11062.92,966.69,2015-08-22T09:34:57.619000
18.38,4.11,11406.28,2553.11,2015-08-22T09:36:00.866000
16.55,3.47,10268.53,1042.11,2015-08-22T09:37:04.178000
17.24,4.37,10702.29,2714.87,2015-08-22T09:38:06.049000
16.29,3.75,10108.85,1098.25,2015-08-22T09:39:09.054000
15.45,1.38,9589.05,307.80,2015-08-22T09:40:12.567000
16.87,1.57,10468.90,375.76,2015-08-22T09:41:14.413000
16.28,2.32,10104.16,662.10,2015-08-22T09:42:16.607000
14.85,3.11,9214.00,941.96,2015-08-22T09:43:19.633000
15.24,1.77,9457.71,452.20,2015-08-22T09:44:21.962000
15.19,1.83,9425.48,472.17,2015-08-22T09:45:24.484000
15.59,1.66,9677.38,409.25,2015-08-22T09:46:27.481000
15.14,1.76,9394.84,447.16,2015-08-22T09:47:30.097000
15.39,2.31,9553.02,661.64,2015-08-22T09:48:32.119000
15.24,2.56,9455.54,756.17,2015-08-22T09:49:34.391000
18.07,2.75,11214.41,824.46,2015-08-22T09:50:36.282000
17.42,2.69,10808.23,803.04,2015-08-22T09:51:38.841000
16.38,2.82,10163.61,847.18,2015-08-22T09:52:40.691000
18.87,3.57,11710.67,1065.19,2015-08-22T09:53:43.393000
18.58,3.21,11534.02,972.15,2015-08-22T09:54:45.112000
15.99,3.56,9920.65,1061.50,2015-08-22T09:55:48.335000
16.87,3.88,10468.98,1118.29,2015-08-22T09:56:50.991000
18.41,2.27,11426.54,644.07,2015-08-22T09:57:54.082000
18.03,4.00,11190.93,1132.32,2015-08-22T09:58:57.051000
19.32,3.68,11988.23,1086.80,2015-08-22T09:59:59.159000
20.24,4.92,12559.02,3052.97,2015-08-22T10:01:01.054000
19.91,5.17,12353.58,3208.60,2015-08-22T10:02:03.068000
21.09,4.22,13087.94,2619.67,2015-08-22T10:03:06.524000
20.09,4.56,12470.14,2829.62,2015-08-22T10:04:08.452000
17.92,3.14,11121.71,953.24,2015-08-22T10:05:10.916000
15.67,2.53,9727.83,742.59,2015-08-22T10:06:13.017000
17.43,1.88,10814.31,491.75,2015-08-22T10:07:15.153000
21.65,2.35,13437.27,673.67,2015-08-22T10:08:18.093000
18.82,4.52,11682.41,2807.43,2015-08-22T10:09:20.209000
15.93,3.73,9884.00,1095.85,2015-08-22T10:10:22.547000
20.78,3.15,12898.29,956.78,2015-08-22T10:11:24.917000
17.86,3.86,11082.26,1116.67,2015-08-22T10:12:27.083000
