1um,5um,time (iso)
1283,59,2015-08-15T16:24:22.591000
1771,99,2015-08-15T16:25:21.334000
1298,105,2015-08-15T16:26:20.085000
752,39,2015-08-15T16:27:18.836000
1283,74,2015-08-15T16:28:17.594000
989,63,2015-08-15T16:29:16.354000
818,51,2015-08-15T16:30:15.119000
635,48,2015-08-15T16:31:13.890000
719,57,2015-08-15T16:32:12.657000
723,58,2015-08-15T16:33:11.430000
887,59,2015-08-15T16:34:10.207000
608,50,2015-08-15T16:35:08.987000
348,25,2015-08-15T16:36:07.766000
711,58,2015-08-15T16:37:06.547000
485,46,2015-08-15T16:38:05.326000
951,86,2015-08-15T16:39:04.105000
567,41,2015-08-15T16:40:02.889000
435,30,2015-08-15T16:41:01.673000
340,23,2015-08-15T16:42:00.456000
273,19,2015-08-15T16:42:59.239000
782,123,2015-08-15T16:45:08.747000
542,104,2015-08-15T16:46:07.535000
997,221,2015-08-15T16:47:06.320000
322,39,2015-08-15T16:48:05.107000
900,78,2015-08-15T16:49:03.895000
1647,130,2015-08-15T16:50:02.685000
1621,125,2015-08-15T16:51:01.472000
1867,224,2015-08-15T16:52:00.259000
2362,301,2015-08-15T16:52:59.043000
2322,323,2015-08-15T16:53:57.832000
2106,258,2015-08-15T16:54:56.619000
2189,274,2015-08-15T16:55:55.407000
2162,267,2015-08-15T16:56:54.197000
866,95,2015-08-15T16:57:52.984000
962,121,2015-08-15T16:58:51.774000
675,72,2015-08-15T16:59:50.565000
562,54,2015-08-15T17:00:49.360000
446,49,2015-08-15T17:01:48.153000
385,36,2015-08-15T17:02:46.946000
318,28,2015-08-15T17:03:45.740000
307,33,2015-08-15T17:04:44.531000
454,67,2015-08-15T17:05:43.318000
397,60,2015-08-15T17:06:42.112000
368,52,2015-08-15T17:07:40.902000
272,35,2015-08-15T17:08:39.696000
219,25,2015-08-15T17:09:38.487000
202,18,2015-08-15T17:10:37.275000
266,37,2015-08-15T17:11:36.065000
242,28,2015-08-15T17:12:34.853000
261,28,2015-08-15T17:13:33.642000
481,99,2015-08-15T17:14:32.431000
579,111,2015-08-15T17:15:31.222000
400,73,2015-08-15T17:16:30.014000
445,66,2015-08-15T17:17:28.807000
445,66,2015-08-15T17:18:27.599000
358,54,2015-08-15T17:19:26.393000
343,50,2015-08-15T17:20:25.184000
367,54,2015-08-15T17:21:23.974000
296,43,2015-08-15T17:22:22.766000
259,36,2015-08-15T17:23:21.559000
272,41,2015-08-15T17:24:20.350000
251,31,2015-08-15T17:25:19.141000
346,49,2015-08-15T17:26:17.933000
368,62,2015-08-15T17:27:16.727000
304,50,2015-08-15T17:28:15.523000
255,37,2015-08-15T17:29:14.319000
238,32,2015-08-15T17:30:13.115000
236,32,2015-08-15T17:31:11.911000
215,29,2015-08-15T17:32:10.707000
218,26,2015-08-15T17:33:09.503000
228,30,2015-08-15T17:34:08.297000
225,29,2015-08-15T17:35:07.091000
312,50,2015-08-15T17:36:05.882000
539,109,2015-08-15T17:37:04.672000
266,32,2015-08-15T17:38:03.462000
249,35,2015-08-15T17:39:02.252000
547,53,2015-08-15T17:40:01.041000
464,70,2015-08-15T17:40:59.829000
464,56,2015-08-15T17:41:58.614000
806,80,2015-08-15T17:42:57.403000
966,101,2015-08-15T17:43:56.194000
804,73,2015-08-15T17:44:54.983000
820,53,2015-08-15T17:45:53.774000
2697,186,2015-08-15T17:46:52.566000
1892,118,2015-08-15T17:47:51.356000
1202,107,2015-08-15T17:48:50.148000
1176,139,2015-08-15T17:49:48.937000
494,51,2015-08-15T17:50:47.728000
592,47,2015-08-15T17:51:46.519000
550,39,2015-08-15T17:52:45.309000
660,60,2015-08-15T17:53:44.098000
537,55,2015-08-15T17:54:42.887000
505,55,2015-08-15T17:55:41.677000
517,54,2015-08-15T17:56:40.468000
410,50,2015-08-15T17:57:39.258000
370,43,2015-08-15T17:58:38.049000
330,51,2015-08-15T17:59:36.840000
200,24,2015-08-15T18:00:35.632000
219,24,2015-08-15T18:01:34.422000
191,20,2015-08-15T18:02:33.214000
161,14,2015-08-15T18:03:32.008000
155,15,2015-08-15T18:04:30.801000
278,40,2015-08-15T18:05:29.589000
332,64,2015-08-15T18:06:28.379000
232,32,2015-08-15T18:07:27.169000
216,32,2015-08-15T18:08:25.962000
192,21,2015-08-15T18:09:24.751000
234,32,2015-08-15T18:10:23.544000
307,54,2015-08-15T18:11:22.335000
520,91,2015-08-15T18:12:21.122000
649,119,2015-08-15T18:13:19.913000
578,88,2015-08-15T18:14:18.706000
445,65,2015-08-15T18:15:17.497000
812,136,2015-08-15T18:16:16.289000
706,109,2015-08-15T18:17:15.079000
411,53,2015-08-15T18:18:13.869000
415,48,2015-08-15T18:19:12.659000
405,54,2015-08-15T18:20:11.447000
354,41,2015-08-15T18:21:10.236000
415,50,2015-08-15T18:22:09.027000
340,44,2015-08-15T18:23:07.818000
421,52,2015-08-15T18:24:06.604000
596,100,2015-08-15T18:25:05.398000
374,51,2015-08-15T18:26:04.186000
446,66,2015-08-15T18:27:02.976000
481,68,2015-08-15T18:28:01.764000
540,83,2015-08-15T18:29:00.551000
792,164,2015-08-15T18:29:59.338000
696,140,2015-08-15T18:30:58.126000
431,64,2015-08-15T18:31:56.912000
582,103,2015-08-15T18:32:55.704000
291,37,2015-08-15T18:33:54.495000
461,66,2015-08-15T18:34:53.283000
399,53,2015-08-15T18:35:52.072000
426,56,2015-08-15T18:36:50.865000
1066,122,2015-08-15T20:44:11.830000
1115,126,2015-08-15T20:45:10.593000
