1um,5um,time (iso)
985,78,2015-08-20T14:36:04.641000
3151,148,2015-08-20T14:37:03.426000
4340,282,2015-08-20T14:38:02.205000
4543,229,2015-08-20T14:39:00.985000
3366,178,2015-08-20T14:39:59.763000
2471,94,2015-08-20T14:40:58.544000
3094,107,2015-08-20T14:41:57.326000
7012,211,2015-08-20T14:42:56.108000
7958,309,2015-08-20T14:43:54.889000
5791,366,2015-08-20T14:44:53.672000
6194,337,2015-08-20T14:45:52.454000
8170,348,2015-08-20T14:46:51.237000
9047,341,2015-08-20T14:47:50.017000
9450,350,2015-08-20T14:48:48.798000
7277,364,2015-08-20T14:49:47.579000
6412,705,2015-08-20T14:50:46.362000
5751,526,2015-08-20T14:51:45.144000
4405,420,2015-08-20T14:52:43.925000
2828,237,2015-08-20T14:53:42.708000
2014,188,2015-08-20T14:54:41.491000
1855,215,2015-08-20T14:55:40.272000
2035,240,2015-08-20T14:56:39.055000
2264,261,2015-08-20T14:57:37.837000
2609,302,2015-08-20T14:58:36.621000
2225,265,2015-08-20T14:59:35.407000
1981,211,2015-08-20T15:00:34.191000
2336,221,2015-08-20T15:01:32.974000
2682,280,2015-08-20T15:02:31.756000
2628,266,2015-08-20T15:03:30.540000
2166,226,2015-08-20T15:04:29.320000
1226,153,2015-08-20T15:05:28.103000
973,118,2015-08-20T15:06:26.883000
1909,200,2015-08-20T15:07:25.667000
2155,233,2015-08-20T15:08:24.450000
2190,234,2015-08-20T15:09:23.232000
2658,378,2015-08-20T15:10:22.013000
2985,402,2015-08-20T15:11:20.792000
2102,285,2015-08-20T15:12:19.572000
2856,366,2015-08-20T15:13:18.353000
3161,435,2015-08-20T15:14:17.132000
2482,312,2015-08-20T15:15:15.911000
2958,361,2015-08-20T15:16:14.693000
2210,349,2015-08-20T15:17:13.476000
1620,336,2015-08-20T15:18:12.258000
1637,262,2015-08-20T15:19:11.039000
1843,287,2015-08-20T15:20:09.823000
2314,337,2015-08-20T15:21:08.610000
1606,178,2015-08-20T15:22:07.397000
867,97,2015-08-20T15:23:06.180000
1862,225,2015-08-20T15:24:04.971000
2530,299,2015-08-20T15:25:03.758000
1957,214,2015-08-20T15:26:02.542000
1515,151,2015-08-20T15:27:01.326000
1422,143,2015-08-20T15:28:00.111000
2237,216,2015-08-20T15:28:58.896000
2771,252,2015-08-20T15:29:57.683000
1922,179,2015-08-20T15:30:56.471000
1807,207,2015-08-20T15:31:55.257000
2340,318,2015-08-20T15:32:54.042000
2236,291,2015-08-20T15:33:52.828000
1644,214,2015-08-20T15:34:51.614000
2255,277,2015-08-20T15:35:50.398000
2436,309,2015-08-20T15:36:49.182000
2759,393,2015-08-20T15:37:47.965000
2112,304,2015-08-20T15:38:46.751000
1181,178,2015-08-20T15:39:45.535000
894,130,2015-08-20T15:40:44.317000
1196,197,2015-08-20T15:41:43.102000
2540,337,2015-08-20T15:42:41.887000
2684,298,2015-08-20T15:43:40.673000
1986,199,2015-08-20T15:44:39.457000
3302,317,2015-08-20T15:45:38.242000
7623,743,2015-08-20T15:46:37.027000
8235,764,2015-08-20T15:47:35.813000
10744,1278,2015-08-20T15:48:34.599000
8684,906,2015-08-20T15:49:33.382000
6812,691,2015-08-20T15:50:32.167000
4834,495,2015-08-20T15:51:30.953000
3126,310,2015-08-20T15:52:29.739000
2019,216,2015-08-20T15:53:28.525000
2482,242,2015-08-20T15:54:27.310000
5294,432,2015-08-20T15:55:26.094000
6821,591,2015-08-20T15:56:24.877000
8082,669,2015-08-20T15:57:23.664000
6089,443,2015-08-20T15:58:22.449000
8139,624,2015-08-20T15:59:21.235000
8147,612,2015-08-20T16:00:20.017000
6825,476,2015-08-20T16:01:18.802000
6882,476,2015-08-20T16:02:17.587000
6442,444,2015-08-20T16:03:16.371000
6312,455,2015-08-20T16:04:15.155000
5134,345,2015-08-20T16:05:13.940000
4573,284,2015-08-20T16:06:12.724000
4550,266,2015-08-20T16:07:11.508000
5395,360,2015-08-20T16:08:10.293000
5068,334,2015-08-20T16:09:09.077000
3936,262,2015-08-20T16:10:07.860000
3758,271,2015-08-20T16:11:06.645000
4188,302,2015-08-20T16:12:05.429000
4468,294,2015-08-20T16:13:04.216000
3751,230,2015-08-20T16:14:02.999000
3748,210,2015-08-20T16:15:01.784000
3640,195,2015-08-20T16:16:00.570000
2878,170,2015-08-20T16:16:59.356000
2550,210,2015-08-20T16:17:58.142000
2669,244,2015-08-20T16:18:56.928000
4957,354,2015-08-20T16:19:55.715000
8036,498,2015-08-20T16:20:54.498000
7522,482,2015-08-20T16:21:53.284000
8563,818,2015-08-20T16:22:52.068000
9146,970,2015-08-20T16:23:50.852000
8613,816,2015-08-20T16:24:49.635000
8353,737,2015-08-20T16:25:48.419000
7222,591,2015-08-20T16:26:47.202000
8419,770,2015-08-20T16:27:45.984000
7674,608,2015-08-20T16:28:44.767000
6815,485,2015-08-20T16:29:43.550000
5562,313,2015-08-20T16:30:42.333000
3144,188,2015-08-20T16:31:41.117000
2117,154,2015-08-20T16:32:39.902000
1924,139,2015-08-20T16:33:38.686000
1743,125,2015-08-20T16:34:37.469000
1594,120,2015-08-20T16:35:36.251000
1328,118,2015-08-20T16:36:35.034000
1014,84,2015-08-20T16:37:33.814000
564,47,2015-08-20T16:38:32.598000
440,43,2015-08-20T16:39:31.382000
527,50,2015-08-20T16:40:30.168000
531,58,2015-08-20T16:41:28.954000
474,56,2015-08-20T16:42:27.740000
448,49,2015-08-20T16:43:26.524000
469,62,2015-08-20T16:44:25.307000
286,38,2015-08-20T16:45:24.091000
146,21,2015-08-20T16:46:22.874000
103,12,2015-08-20T16:47:21.656000
90,12,2015-08-20T16:48:20.439000
103,14,2015-08-20T16:49:19.223000
143,23,2015-08-20T16:50:18.006000
