P2 ratio,P1 ratio,0.5um,1um,time (iso)
47.67,24.32,29583.38,15095.32,2015-08-23T14:49:22.310000
40.32,17.64,25020.42,10946.96,2015-08-23T14:50:24.540000
43.36,19.71,26909.90,12229.80,2015-08-23T14:51:26.501000
31.51,14.92,19553.46,9261.85,2015-08-23T14:52:28.728000
28.47,8.80,17668.85,5464.22,2015-08-23T14:53:30.906000
29.58,7.93,18357.42,4919.45,2015-08-23T14:54:32.883000
34.31,12.30,21290.16,7634.23,2015-08-23T14:55:34.769000
36.60,11.54,22713.71,7160.59,2015-08-23T14:56:36.480000
35.21,16.73,21850.84,10383.64,2015-08-23T14:57:38.273000
32.54,13.85,20196.56,8593.89,2015-08-23T14:58:40.209000
29.58,16.53,18358.46,10259.82,2015-08-23T14:59:42.161000
29.20,15.23,18123.13,9453.57,2015-08-23T15:00:44.028000
30.23,9.49,18762.46,5887.75,2015-08-23T15:01:46.107000
30.50,9.33,18927.18,5792.77,2015-08-23T15:02:48.253000
33.87,12.45,21017.40,7727.54,2015-08-23T15:03:49.976000
30.39,11.64,18863.40,7224.24,2015-08-23T15:04:52.042000
28.24,9.01,17525.39,5590.53,2015-08-23T15:05:54.098000
28.12,7.53,17450.18,4673.68,2015-08-23T15:06:56.550000
29.51,9.31,18316.20,5779.40,2015-08-23T15:07:59.149000
28.46,9.86,17663.54,6118.85,2015-08-23T15:09:02.507000
24.52,8.70,15219.06,5397.60,2015-08-23T15:10:04.360000
26.71,8.82,16574.03,5474.36,2015-08-23T15:11:06.022000
24.52,9.30,15217.82,5771.39,2015-08-23T15:12:08.303000
23.72,8.07,14721.61,5011.39,2015-08-23T15:13:11.574000
20.68,5.48,12836.30,3403.76,2015-08-23T15:14:13.706000
15.69,3.52,9739.93,1053.45,2015-08-23T15:15:16.433000
18.47,2.10,11461.49,579.92,2015-08-23T15:16:19.224000
18.22,3.42,11308.03,1029.26,2015-08-23T15:17:21.575000
20.19,3.45,12531.86,1037.13,2015-08-23T15:18:23.715000
15.27,1.70,9476.53,424.92,2015-08-23T15:19:27.130000
14.85,2.74,9214.76,821.48,2015-08-23T15:20:29.975000
13.63,1.05,8456.10,199.08,2015-08-23T15:21:32.313000
15.90,0.91,9869.86,159.27,2015-08-23T15:22:34.511000
22.49,3.82,13960.46,1110.25,2015-08-23T15:23:36.353000
22.00,4.46,13651.21,2770.76,2015-08-23T15:24:39.292000
17.22,2.41,10686.71,697.97,2015-08-23T15:25:41.846000
20.52,2.80,12736.56,842.78,2015-08-23T15:26:44.356000
18.86,4.01,11703.42,2491.36,2015-08-23T15:27:46.817000
14.94,1.61,9271.25,391.36,2015-08-23T15:28:50.059000
31.11,5.96,19306.71,3699.60,2015-08-23T15:29:51.918000
32.82,14.35,20371.51,8906.74,2015-08-23T15:30:53.739000
32.85,12.02,20385.36,7457.79,2015-08-23T15:31:55.560000
30.21,13.90,18749.82,8625.55,2015-08-23T15:32:57.762000
27.79,7.94,17249.46,4930.61,2015-08-23T15:33:59.575000
22.15,4.91,13745.51,3045.80,2015-08-23T15:35:02.802000
18.24,4.68,11317.71,2902.58,2015-08-23T15:36:04.820000
17.11,4.65,10619.87,2883.29,2015-08-23T15:37:06.756000
19.32,4.98,11991.52,3088.34,2015-08-23T15:38:08.708000
17.73,4.04,11004.65,2504.35,2015-08-23T15:39:11.021000
18.80,3.88,11668.25,1119.25,2015-08-23T15:40:13.161000
22.56,5.75,13999.54,3571.60,2015-08-23T15:41:15.008000
21.89,7.45,13583.81,4626.25,2015-08-23T15:42:16.956000
22.48,5.44,13950.62,3373.30,2015-08-23T15:43:20.109000
17.39,5.23,10792.32,3246.56,2015-08-23T15:44:22.110000
18.11,5.56,11236.64,3450.59,2015-08-23T15:45:25.524000
12.15,2.42,7539.75,702.93,2015-08-23T15:46:28.694000
19.09,2.84,11847.78,854.31,2015-08-23T15:47:30.515000
35.96,13.06,22316.69,8104.80,2015-08-23T15:48:32.496000
41.56,16.10,25792.20,9993.53,2015-08-23T15:49:34.375000
38.67,17.86,23996.22,11083.24,2015-08-23T15:50:36.311000
33.05,12.52,20513.05,7771.38,2015-08-23T15:51:38.153000
31.47,12.82,19530.94,7956.75,2015-08-23T15:52:39.945000
27.07,7.53,16796.87,4675.52,2015-08-23T15:53:42.790000
22.14,7.57,13737.46,4696.55,2015-08-23T15:54:44.612000
26.29,6.81,16317.62,4228.64,2015-08-23T15:55:47.101000
45.84,19.33,28449.93,11994.63,2015-08-23T15:56:48.861000
48.77,26.43,30267.56,16403.49,2015-08-23T15:57:50.715000
42.65,23.32,26466.53,14474.87,2015-08-23T15:58:52.647000
36.54,20.14,22677.70,12499.55,2015-08-23T15:59:54.764000
30.69,11.69,19045.55,7257.28,2015-08-23T16:00:56.757000
22.54,6.00,13985.86,3726.50,2015-08-23T16:01:58.525000
19.85,5.02,12318.56,3117.51,2015-08-23T16:03:00.293000
14.75,3.00,9151.30,909.59,2015-08-23T16:04:02.184000
14.09,2.22,8741.50,626.80,2015-08-23T16:05:03.882000
11.59,1.84,7191.04,478.29,2015-08-23T16:06:07.096000
11.81,1.76,7327.63,447.38,2015-08-23T16:07:10.397000
11.43,1.38,7095.13,308.21,2015-08-23T16:08:12.591000
11.05,0.59,6860.83,78.28,2015-08-23T16:09:15.518000
13.32,0.84,8266.19,139.42,2015-08-23T16:10:17.323000
9.67,1.34,6001.77,293.78,2015-08-23T16:11:19.259000
11.90,0.18,7384.51,13.90,2015-08-23T16:12:21.928000
9.72,0.99,6030.80,179.98,2015-08-23T16:13:24.560000
11.18,0.45,6935.65,51.15,2015-08-23T16:14:26.688000
24.65,0.83,15301.02,135.10,2015-08-23T16:15:29.121000
34.25,12.55,21253.55,7785.96,2015-08-23T16:16:30.950000
38.60,10.89,23953.55,6758.69,2015-08-23T16:17:33.156000
