P2 ratio,P1 ratio,0.5um,1um,time (iso)
6.34,0.24,3934.17,20.63,2015-08-16T13:03:52.155000
6.50,0.05,4034.96,2.94,2015-08-16T13:04:55.045000
6.45,0.19,4003.31,14.76,2015-08-16T13:05:58.345000
7.77,0.16,4820.70,11.85,2015-08-16T13:07:00.790000
7.38,0.21,4577.92,16.36,2015-08-16T13:08:03.634000
6.49,0.45,4027.82,50.87,2015-08-16T13:09:05.914000
7.21,0.29,4473.61,25.80,2015-08-16T13:10:08.608000
6.87,0.56,4263.56,71.62,2015-08-16T13:11:11.319000
8.06,0.03,5003.47,1.65,2015-08-16T13:12:13.726000
8.23,0.30,5107.77,27.60,2015-08-16T13:13:17.137000
6.62,0.01,4106.45,0.45,2015-08-16T13:14:20.207000
7.29,0.47,4522.14,55.14,2015-08-16T13:15:23.585000
6.54,0.53,4056.28,65.67,2015-08-16T13:16:27.048000
6.55,0.01,4063.53,0.63,2015-08-16T13:17:29.145000
6.00,0.57,3722.92,74.74,2015-08-16T13:18:31.224000
7.28,0.08,4518.80,5.04,2015-08-16T13:19:34.458000
6.97,0.41,4323.04,44.94,2015-08-16T13:20:37.889000
6.22,0.58,3859.64,76.36,2015-08-16T13:21:40.329000
6.99,0.45,4340.59,50.86,2015-08-16T13:22:42.249000
6.22,0.59,3863.01,78.12,2015-08-16T13:23:44.894000
8.34,0.33,5175.22,32.22,2015-08-16T13:24:47.694000
7.58,0.40,4704.37,43.32,2015-08-16T13:25:51.621000
7.20,0.12,4470.01,7.86,2015-08-16T13:26:53.799000
7.90,0.09,4903.59,5.46,2015-08-16T13:27:57.107000
5.34,0.18,3316.79,13.72,2015-08-16T13:29:00.312000
6.63,0.66,4115.36,93.85,2015-08-16T13:30:03.141000
5.43,0.12,3371.61,7.87,2015-08-16T13:31:05.893000
7.64,0.17,4740.55,12.18,2015-08-16T13:32:08.022000
6.44,0.63,3995.58,86.96,2015-08-16T13:33:11.285000
7.16,0.48,4444.19,56.58,2015-08-16T13:34:13.671000
5.36,0.00,3326.37,0.00,2015-08-16T13:35:17.676000
6.94,0.07,4309.36,4.16,2015-08-16T13:36:19.726000
7.43,0.57,4608.63,73.86,2015-08-16T13:37:22.723000
6.24,0.55,3874.85,71.18,2015-08-16T13:38:26.294000
6.43,0.02,3991.28,0.79,2015-08-16T13:39:30.425000
6.98,0.80,4329.20,128.23,2015-08-16T13:40:33.242000
6.95,0.47,4312.02,55.34,2015-08-16T13:41:36.669000
5.67,0.21,3517.57,17.01,2015-08-16T13:42:39.563000
