P2 ratio,P1 ratio,0.5um,1um,time (iso)
11.91,2.35,7391.40,676.03,2015-08-18T10:01:57.658000
11.57,1.05,7180.94,199.78,2015-08-18T10:03:00.487000
14.20,0.76,8810.32,118.04,2015-08-18T10:04:02.788000
13.26,2.44,8230.62,708.34,2015-08-18T10:05:04.814000
22.58,3.23,14014.77,979.34,2015-08-18T10:06:06.877000
18.39,7.32,11414.83,4540.04,2015-08-18T10:07:09.473000
21.20,6.48,13155.83,4023.11,2015-08-18T10:08:12.130000
20.32,4.15,12613.72,2577.80,2015-08-18T10:09:14.565000
19.11,2.27,11857.59,642.87,2015-08-18T10:10:17.407000
23.75,6.14,14741.85,3812.30,2015-08-18T10:11:20.580000
21.81,6.96,13533.59,4318.81,2015-08-18T10:12:22.295000
