1um,5um,time (iso)
1940,112,2015-08-19T08:27:26.615000
1551,106,2015-08-19T08:28:25.351000
1076,64,2015-08-19T08:29:24.083000
748,42,2015-08-19T08:30:22.815000
616,34,2015-08-19T08:31:21.550000
499,30,2015-08-19T08:32:20.284000
400,32,2015-08-19T08:33:19.018000
361,26,2015-08-19T08:34:17.752000
317,35,2015-08-19T08:35:16.486000
276,29,2015-08-19T08:36:15.219000
292,36,2015-08-19T08:37:13.954000
279,47,2015-08-19T08:38:12.687000
292,60,2015-08-19T08:39:11.422000
728,122,2015-08-19T08:40:10.156000
1216,178,2015-08-19T08:41:08.891000
985,147,2015-08-19T08:42:07.625000
794,109,2015-08-19T08:43:06.359000
726,117,2015-08-19T08:44:05.094000
751,104,2015-08-19T08:45:03.826000
1172,110,2015-08-19T08:46:02.563000
1387,102,2015-08-19T08:47:01.297000
2591,254,2015-08-19T08:48:00.031000
4382,809,2015-08-19T08:48:58.765000
2819,217,2015-08-19T08:49:57.499000
2727,132,2015-08-19T08:50:56.232000
3565,126,2015-08-19T08:51:54.965000
3975,117,2015-08-19T08:52:53.698000
3175,105,2015-08-19T08:53:52.432000
2274,96,2015-08-19T08:54:51.164000
2820,216,2015-08-19T08:55:49.901000
2740,294,2015-08-19T08:56:48.636000
2471,288,2015-08-19T08:57:47.372000
2469,269,2015-08-19T08:58:46.108000
4736,210,2015-08-19T08:59:44.842000
4237,208,2015-08-19T09:00:43.577000
3257,166,2015-08-19T09:01:42.313000
2964,149,2015-08-19T09:02:41.052000
2967,151,2015-08-19T09:03:39.788000
2551,180,2015-08-19T09:04:38.526000
2461,175,2015-08-19T09:05:37.264000
2556,190,2015-08-19T09:06:36.002000
2586,186,2015-08-19T09:07:34.740000
2999,193,2015-08-19T09:08:33.478000
2298,156,2015-08-19T09:09:32.214000
2002,164,2015-08-19T09:10:30.954000
1509,137,2015-08-19T09:11:29.694000
1006,60,2015-08-19T09:12:28.432000
1017,57,2015-08-19T09:13:27.180000
1648,72,2015-08-19T09:14:25.909000
2144,92,2015-08-19T09:15:24.648000
2098,98,2015-08-19T09:16:23.387000
1887,128,2015-08-19T09:17:22.127000
1951,135,2015-08-19T09:18:20.866000
2059,178,2015-08-19T09:19:19.606000
1884,234,2015-08-19T09:20:18.345000
1241,140,2015-08-19T09:21:17.085000
852,106,2015-08-19T09:22:15.821000
759,94,2015-08-19T09:23:14.556000
711,96,2015-08-19T09:24:13.293000
504,71,2015-08-19T09:25:12.031000
713,168,2015-08-19T09:26:10.768000
919,244,2015-08-19T09:27:09.504000
816,180,2015-08-19T09:28:08.240000
899,145,2015-08-19T09:29:06.978000
593,96,2015-08-19T09:30:05.714000
925,111,2015-08-19T09:31:04.453000
1329,100,2015-08-19T09:32:03.191000
1734,81,2015-08-19T09:33:01.926000
1909,74,2015-08-19T09:34:00.664000
1727,75,2015-08-19T09:34:59.401000
1323,51,2015-08-19T09:35:58.138000
1083,34,2015-08-19T09:36:56.873000
720,21,2015-08-19T09:37:55.609000
540,19,2015-08-19T09:38:54.348000
423,19,2015-08-19T09:39:53.086000
304,22,2015-08-19T09:40:51.823000
447,99,2015-08-19T09:41:50.557000
842,236,2015-08-19T09:42:49.295000
857,169,2015-08-19T09:43:48.031000
874,95,2015-08-19T09:44:46.764000
583,78,2015-08-19T09:45:45.500000
692,157,2015-08-19T09:46:44.237000
575,147,2015-08-19T09:47:42.974000
496,106,2015-08-19T09:48:41.712000
984,106,2015-08-19T09:49:40.450000
1564,135,2015-08-19T09:50:39.189000
1500,128,2015-08-19T09:51:37.926000
1672,150,2015-08-19T09:52:36.667000
2532,205,2015-08-19T09:53:35.402000
2522,201,2015-08-19T09:54:34.141000
2411,167,2015-08-19T09:55:32.877000
2807,201,2015-08-19T09:56:31.616000
2517,159,2015-08-19T09:57:30.355000
2064,107,2015-08-19T09:58:29.093000
2036,94,2015-08-19T09:59:27.830000
2083,75,2015-08-19T10:00:26.570000
3483,139,2015-08-19T10:01:25.309000
3449,186,2015-08-19T10:02:24.048000
2646,152,2015-08-19T10:03:22.787000
2826,173,2015-08-19T10:04:21.526000
2850,158,2015-08-19T10:05:20.268000
4131,244,2015-08-19T10:06:19.006000
4125,235,2015-08-19T10:07:17.747000
3439,242,2015-08-19T10:08:16.489000
3864,295,2015-08-19T10:09:15.229000
2826,191,2015-08-19T10:10:13.970000
2983,226,2015-08-19T10:11:12.710000
2994,240,2015-08-19T10:12:11.452000
2800,236,2015-08-19T10:13:10.192000
2755,278,2015-08-19T10:14:08.931000
2884,318,2015-08-19T10:15:07.672000
2746,317,2015-08-19T10:16:06.411000
2554,298,2015-08-19T10:17:05.147000
2638,316,2015-08-19T10:18:03.887000
1957,219,2015-08-19T10:19:02.626000
1357,154,2015-08-19T10:20:01.365000
1029,126,2015-08-19T10:21:00.106000
810,117,2015-08-19T10:21:58.845000
686,97,2015-08-19T10:22:57.586000
1194,196,2015-08-19T10:23:56.330000
1393,230,2015-08-19T10:24:55.070000
1124,178,2015-08-19T10:25:53.812000
1321,234,2015-08-19T10:26:52.551000
1376,204,2015-08-19T10:27:51.293000
1469,199,2015-08-19T10:28:50.034000
1689,195,2015-08-19T10:29:48.775000
1274,130,2015-08-19T10:30:47.515000
1378,143,2015-08-19T10:31:46.254000
1306,132,2015-08-19T10:32:44.997000
1412,164,2015-08-19T10:33:43.738000
1188,113,2015-08-19T10:34:42.479000
1480,117,2015-08-19T10:35:41.218000
1757,110,2015-08-19T10:36:39.959000
2174,141,2015-08-19T10:37:38.700000
