P2 ratio,P1 ratio,0.5um,1um,time (iso)
16.05,2.39,9958.21,692.32,2015-08-17T16:08:10.391000
13.75,0.80,8535.96,127.92,2015-08-17T16:09:12.249000
13.63,1.95,8461.97,520.23,2015-08-17T16:10:14.700000
11.21,1.08,6955.57,206.87,2015-08-17T16:11:17.930000
14.23,1.43,8829.76,325.08,2015-08-17T16:12:21.270000
11.61,0.94,7208.10,166.78,2015-08-17T16:13:24.663000
10.69,2.78,6633.15,832.64,2015-08-17T16:14:27.695000
12.57,1.59,7800.36,384.71,2015-08-17T16:15:29.328000
12.14,3.52,7535.61,1053.30,2015-08-17T16:16:31.718000
13.04,1.68,8094.61,418.18,2015-08-17T16:17:34.391000
10.87,1.37,6747.37,304.13,2015-08-17T16:18:37.630000
10.73,1.61,6659.95,390.99,2015-08-17T16:19:40.567000
11.38,1.34,7065.22,293.08,2015-08-17T16:20:43.560000
13.44,1.50,8338.65,348.92,2015-08-17T16:21:46.015000
16.49,1.51,10234.02,352.98,2015-08-17T16:22:48.480000
14.99,2.80,9303.40,842.96,2015-08-17T16:23:51.530000
26.60,6.44,16507.08,3999.33,2015-08-17T16:24:54.024000
18.02,5.61,11182.17,3482.14,2015-08-17T16:25:56.292000
15.89,4.48,9862.87,2780.32,2015-08-17T16:26:59.044000
17.82,2.40,11060.48,696.09,2015-08-17T16:28:02.793000
16.70,4.29,10361.27,2662.98,2015-08-17T16:29:04.910000
19.32,4.51,11987.96,2796.45,2015-08-17T16:30:08.178000
14.80,3.00,9185.93,908.84,2015-08-17T16:31:10.843000
13.58,3.79,8425.49,1105.89,2015-08-17T16:32:12.844000
18.79,5.85,11663.45,3631.95,2015-08-17T16:33:14.697000
17.31,3.79,10741.91,1105.89,2015-08-17T16:34:17.097000
