P2 ratio,P1 ratio,0.5um,1um,time (iso)
13.92,3.33,8639.75,1007.65,2015-08-20T14:36:31.373000
19.05,2.10,11820.99,576.65,2015-08-20T14:37:33.625000
21.53,2.82,13360.56,847.82,2015-08-20T14:38:35.786000
21.95,7.44,13619.63,4618.30,2015-08-20T14:39:38.537000
23.30,4.66,14461.39,2892.00,2015-08-20T14:40:40.776000
19.69,4.51,12217.62,2798.78,2015-08-20T14:41:42.486000
25.13,4.10,15596.59,2544.61,2015-08-20T14:42:45.610000
29.64,7.24,18396.31,4494.87,2015-08-20T14:43:47.576000
32.35,9.54,20074.20,5922.21,2015-08-20T14:44:49.462000
29.64,10.85,18392.55,6733.45,2015-08-20T14:45:51.296000
29.87,10.61,18536.93,6585.18,2015-08-20T14:46:54.305000
32.85,10.68,20385.10,6627.44,2015-08-20T14:47:56.213000
34.93,10.13,21675.80,6287.02,2015-08-20T14:48:57.911000
31.76,17.13,19710.81,10631.23,2015-08-20T14:49:59.785000
41.99,11.81,26061.00,7329.83,2015-08-20T14:51:01.599000
35.80,13.57,22220.84,8423.45,2015-08-20T14:52:04.071000
26.87,11.58,16673.50,7183.97,2015-08-20T14:53:05.942000
21.63,5.82,13422.68,3609.98,2015-08-20T14:54:08.202000
24.40,5.36,15141.34,3328.41,2015-08-20T14:55:10.458000
21.52,5.90,13353.69,3663.95,2015-08-20T14:56:12.586000
17.49,4.95,10857.56,3072.25,2015-08-20T14:57:14.964000
20.71,3.98,12854.98,1131.18,2015-08-20T14:58:16.966000
19.93,4.34,12369.29,2691.09,2015-08-20T14:59:20.134000
21.72,4.81,13482.56,2984.40,2015-08-20T15:00:23.217000
17.09,3.17,10603.38,960.07,2015-08-20T15:01:25.108000
26.23,7.56,16277.24,4693.80,2015-08-20T15:02:27.528000
21.76,5.63,13507.20,3496.33,2015-08-20T15:03:29.898000
22.70,5.22,14088.51,3237.04,2015-08-20T15:04:31.625000
13.94,5.26,8651.92,3264.50,2015-08-20T15:05:33.385000
17.27,3.35,10717.21,1011.48,2015-08-20T15:06:35.829000
