P2 ratio,P1 ratio,0.5um,1um,time (iso)
13.83,0.38,8585.10,39.31,2015-08-21T09:10:30.243000
12.20,0.34,7573.19,34.21,2015-08-21T09:11:32.371000
16.33,4.84,10133.04,3001.23,2015-08-21T09:12:35.291000
15.45,3.45,9590.91,1036.89,2015-08-21T09:13:37.632000
15.30,1.88,9497.23,493.12,2015-08-21T09:14:39.564000
22.46,4.22,13941.47,2617.02,2015-08-21T09:15:42.077000
24.67,5.83,15310.98,3618.72,2015-08-21T09:16:44.608000
22.96,3.55,14251.53,1059.19,2015-08-21T09:17:47.055000
16.02,2.82,9939.89,849.69,2015-08-21T09:18:50.167000
16.94,4.10,10513.20,2547.17,2015-08-21T09:19:52.353000
16.39,1.95,10174.60,521.91,2015-08-21T09:20:54.211000
15.67,1.81,9722.92,467.94,2015-08-21T09:21:57.290000
14.82,1.57,9196.78,376.51,2015-08-21T09:22:59.672000
13.55,1.18,8411.81,240.11,2015-08-21T09:24:02.394000
14.31,1.91,8880.26,504.03,2015-08-21T09:25:04.359000
15.56,2.40,9654.04,695.06,2015-08-21T09:26:07.921000
13.92,2.87,8639.56,863.98,2015-08-21T09:27:10.979000
16.15,1.31,10021.98,282.90,2015-08-21T09:28:14.091000
16.26,2.52,10088.16,739.00,2015-08-21T09:29:16.449000
15.20,2.89,9431.98,871.40,2015-08-21T09:30:18.197000
15.76,2.09,9781.50,573.50,2015-08-21T09:31:21.079000
16.65,1.39,10333.95,309.41,2015-08-21T09:32:22.896000
16.55,1.42,10269.97,322.43,2015-08-21T09:33:24.955000
14.59,3.01,9051.91,912.58,2015-08-21T09:34:27.399000
16.25,2.09,10082.07,574.88,2015-08-21T09:35:30.290000
18.92,1.12,11740.63,220.15,2015-08-21T09:36:33.126000
16.26,2.47,10089.05,721.55,2015-08-21T09:37:35.222000
17.82,2.80,11059.29,841.08,2015-08-21T09:38:37.097000
15.45,2.03,9586.22,550.72,2015-08-21T09:39:39.136000
17.73,1.87,11004.15,490.30,2015-08-21T09:40:41.752000
20.47,2.11,12703.42,581.74,2015-08-21T09:41:44.216000
18.12,2.89,11247.54,873.26,2015-08-21T09:42:46.091000
22.02,2.65,13664.92,786.72,2015-08-21T09:43:49.182000
16.40,1.91,10175.29,504.24,2015-08-21T09:44:51.155000
18.68,2.42,11595.91,701.72,2015-08-21T09:45:53.210000
16.20,2.50,10052.70,731.66,2015-08-21T09:46:56.514000
15.72,4.68,9754.66,2903.73,2015-08-21T09:47:59.760000
15.65,2.20,9715.35,615.74,2015-08-21T09:49:01.742000
15.87,1.62,9848.06,394.64,2015-08-21T09:50:04.095000
29.38,2.61,18230.72,771.61,2015-08-21T09:51:06.055000
29.92,10.79,18568.43,6695.31,2015-08-21T09:52:08.053000
35.43,13.52,21988.15,8391.12,2015-08-21T09:53:09.842000
32.63,12.64,20253.15,7845.27,2015-08-21T09:54:11.995000
31.00,11.77,19241.65,7306.81,2015-08-21T09:55:13.846000
31.05,9.06,19272.16,5624.04,2015-08-21T09:56:16.195000
31.06,11.32,19275.73,7026.15,2015-08-21T09:57:19.507000
24.92,6.80,15463.91,4221.88,2015-08-21T09:58:21.533000
22.54,6.43,13989.49,3989.13,2015-08-21T09:59:23.785000
19.96,5.95,12385.13,3693.72,2015-08-21T10:00:25.679000
18.85,2.62,11696.98,775.09,2015-08-21T10:01:28.378000
18.87,5.48,11713.63,3399.28,2015-08-21T10:02:30.290000
24.66,4.18,15305.86,2592.17,2015-08-21T10:03:33.810000
32.76,9.22,20330.88,5721.93,2015-08-21T10:04:35.755000
34.70,15.68,21532.92,9732.85,2015-08-21T10:05:37.650000
34.72,15.43,21547.82,9576.45,2015-08-21T10:06:39.352000
31.06,12.32,19274.80,7647.11,2015-08-21T10:07:41.145000
26.93,10.14,16710.36,6291.45,2015-08-21T10:08:43.249000
24.16,6.57,14993.04,4074.83,2015-08-21T10:09:45.971000
20.90,9.52,12970.83,5908.16,2015-08-21T10:10:47.887000
22.19,4.30,13774.16,2670.07,2015-08-21T10:11:50.474000
17.80,3.62,11047.05,1073.82,2015-08-21T10:12:53.512000
15.79,2.98,9800.83,901.60,2015-08-21T10:13:56.636000
15.93,2.78,9888.31,834.69,2015-08-21T10:14:58.682000
12.20,2.12,7572.97,584.59,2015-08-21T10:16:00.537000
14.81,2.26,9194.19,640.37,2015-08-21T10:17:02.673000
15.34,2.48,9520.58,726.63,2015-08-21T10:18:05.544000
23.59,5.30,14640.10,3288.97,2015-08-21T10:19:07.836000
24.06,9.40,14931.84,5833.69,2015-08-21T10:20:09.899000
21.07,10.29,13073.59,6387.43,2015-08-21T10:21:11.856000
20.90,5.72,12970.27,3550.57,2015-08-21T10:22:14.287000
20.92,5.05,12980.52,3132.87,2015-08-21T10:23:16.514000
21.18,3.96,13143.42,1128.48,2015-08-21T10:24:18.585000
