P2 ratio,P1 ratio,0.5um,1um,time (iso)
10.65,4.96,6609.13,3080.51,2015-08-16T09:32:23.967000
10.95,0.52,6794.98,63.88,2015-08-16T09:33:26.721000
13.57,1.99,8419.44,537.01,2015-08-16T09:34:29.042000
11.63,1.76,7217.19,447.71,2015-08-16T09:35:31.359000
12.55,1.07,7790.90,205.99,2015-08-16T09:36:34.274000
13.40,2.83,8318.81,850.04,2015-08-16T09:37:36.637000
19.04,1.04,11816.68,196.59,2015-08-16T09:38:38.798000
16.32,2.65,10129.05,786.95,2015-08-16T09:39:41.934000
12.66,0.90,7856.26,154.98,2015-08-16T09:40:43.846000
10.30,1.43,6394.54,324.92,2015-08-16T09:41:46.019000
10.04,1.39,6233.15,309.66,2015-08-16T09:42:48.688000
10.37,1.06,6432.68,203.01,2015-08-16T09:43:51.722000
10.71,1.17,6644.77,236.83,2015-08-16T09:44:54.026000
10.28,1.39,6380.38,311.78,2015-08-16T09:45:55.930000
9.63,2.36,5974.25,679.23,2015-08-16T09:46:59.259000
16.97,1.40,10530.36,313.74,2015-08-16T09:48:02.137000
14.52,5.81,9011.37,3605.50,2015-08-16T09:49:04.032000
12.14,3.53,7535.38,1055.20,2015-08-16T09:50:06.108000
11.06,1.07,6865.35,203.98,2015-08-16T09:51:08.887000
12.97,1.92,8051.04,508.76,2015-08-16T09:52:11.274000
12.83,3.78,7961.57,1104.40,2015-08-16T09:53:14.467000
21.43,5.71,13297.81,3542.71,2015-08-16T09:54:16.608000
16.65,5.43,10332.50,3367.22,2015-08-16T09:55:19.777000
15.16,3.22,9408.69,974.77,2015-08-16T09:56:22.098000
13.70,3.03,8501.86,918.23,2015-08-16T09:57:24.874000
16.33,2.78,10133.05,835.40,2015-08-16T09:58:27.052000
15.50,2.33,9617.30,669.20,2015-08-16T09:59:30.302000
13.99,2.15,8679.38,596.16,2015-08-16T10:00:32.811000
12.91,1.89,8013.26,495.14,2015-08-16T10:01:35.104000
21.41,4.05,13287.82,2515.52,2015-08-16T10:02:36.884000
19.15,4.75,11886.62,2950.42,2015-08-16T10:03:39.394000
12.95,4.57,8038.11,2836.55,2015-08-16T10:04:41.609000
15.18,2.54,9421.14,747.71,2015-08-16T10:05:44.405000
11.60,2.32,7200.73,665.59,2015-08-16T10:06:47.774000
15.04,4.37,9335.48,2711.55,2015-08-16T10:07:51.030000
11.43,2.84,7096.50,856.57,2015-08-16T10:08:53.261000
12.25,1.75,7601.35,443.10,2015-08-16T10:09:55.385000
9.68,1.21,6009.13,248.57,2015-08-16T10:10:58.022000
11.18,0.74,6935.36,113.29,2015-08-16T10:11:59.814000
12.84,2.63,7969.86,781.26,2015-08-16T10:13:02.267000
12.27,1.27,7617.09,270.83,2015-08-16T10:14:05.489000
12.96,2.11,8044.75,581.13,2015-08-16T10:15:08.375000
13.03,1.03,8088.04,191.87,2015-08-16T10:16:10.217000
12.09,1.34,7500.99,294.58,2015-08-16T10:17:13.586000
15.50,3.43,9616.97,1032.33,2015-08-16T10:18:16.829000
13.40,3.35,8317.99,1011.46,2015-08-16T10:19:19.174000
16.32,3.52,10127.65,1053.37,2015-08-16T10:20:22.339000
15.37,4.16,9538.09,2579.12,2015-08-16T10:21:25.054000
12.49,2.35,7751.94,673.62,2015-08-16T10:22:28.252000
14.16,3.05,8786.87,924.56,2015-08-16T10:23:32.117000
12.35,1.48,7666.50,342.28,2015-08-16T10:24:35.503000
12.36,2.87,7668.80,866.28,2015-08-16T10:25:39.158000
10.76,1.34,6678.85,293.76,2015-08-16T10:26:42.201000
15.56,2.31,9654.18,659.18,2015-08-16T10:27:43.993000
14.01,2.45,8697.69,712.72,2015-08-16T10:28:46.159000
11.75,3.08,7293.45,933.62,2015-08-16T10:29:49.872000
11.32,2.04,7023.91,553.39,2015-08-16T10:30:53.107000
10.16,2.08,6307.74,570.11,2015-08-16T10:31:56.001000
13.06,2.48,8106.27,726.29,2015-08-16T10:32:58.535000
9.06,1.26,5624.05,265.66,2015-08-16T10:34:00.853000
9.97,0.60,6189.77,80.62,2015-08-16T10:35:03.538000
10.07,1.90,6249.42,499.63,2015-08-16T10:36:05.744000
10.51,1.24,6522.35,260.88,2015-08-16T10:37:07.472000
12.09,1.87,7504.34,490.64,2015-08-16T10:38:09.621000
15.60,3.81,9680.41,1108.10,2015-08-16T10:39:11.839000
14.21,3.23,8816.66,977.61,2015-08-16T10:40:14.017000
13.71,2.59,8505.89,765.13,2015-08-16T10:41:16.085000
13.17,2.89,8175.76,873.14,2015-08-16T10:42:18.152000
14.19,4.24,8809.26,2632.18,2015-08-16T10:43:20.534000
11.38,1.32,7059.76,287.31,2015-08-16T10:44:22.680000
9.88,1.07,6129.40,203.79,2015-08-16T10:45:25.102000
10.11,1.45,6275.03,330.74,2015-08-16T10:46:27.482000
9.84,0.54,6109.46,67.71,2015-08-16T10:47:29.950000
10.96,1.25,6800.63,264.10,2015-08-16T10:48:33.491000
11.32,1.44,7026.48,328.06,2015-08-16T10:49:36.914000
11.51,1.20,7144.35,247.43,2015-08-16T10:50:39.866000
13.20,3.67,8191.76,1084.59,2015-08-16T10:51:43.243000
11.97,3.12,7430.09,944.88,2015-08-16T10:52:45.155000
10.56,2.00,6550.91,539.61,2015-08-16T10:53:48.357000
12.39,2.02,7690.01,548.29,2015-08-16T10:54:50.359000
14.39,1.63,8928.54,398.94,2015-08-16T10:55:53.667000
9.39,1.01,5826.20,186.85,2015-08-16T10:56:57.266000
9.69,1.82,6016.80,470.22,2015-08-16T10:57:59.804000
10.16,1.75,6307.49,442.82,2015-08-16T10:59:03.309000
9.25,0.74,5743.64,114.55,2015-08-16T11:00:05.352000
11.55,0.74,7169.43,112.97,2015-08-16T11:01:07.435000
10.47,1.08,6494.76,209.56,2015-08-16T11:02:10.149000
10.90,1.82,6765.66,469.37,2015-08-16T11:03:13.498000
11.78,2.05,7310.37,560.81,2015-08-16T11:04:15.398000
8.22,0.53,5103.38,67.51,2015-08-16T11:05:17.838000
11.33,1.15,7029.32,229.74,2015-08-16T11:06:19.720000
9.55,1.72,5928.99,432.31,2015-08-16T11:07:22.512000
11.75,0.59,7294.00,78.94,2015-08-16T11:08:25.854000
10.14,1.04,6293.96,195.24,2015-08-16T11:09:29.304000
8.88,0.57,5513.31,75.16,2015-08-16T11:10:32.621000
8.59,1.31,5330.75,282.52,2015-08-16T11:11:35.557000
7.89,0.90,4897.20,155.32,2015-08-16T11:12:38.251000
9.44,0.92,5857.09,159.66,2015-08-16T11:13:41.644000
9.47,1.24,5875.31,260.51,2015-08-16T11:14:43.876000
10.82,1.31,6715.73,284.84,2015-08-16T11:15:45.779000
10.60,1.11,6580.96,217.99,2015-08-16T11:16:48.706000
10.64,1.49,6601.77,345.48,2015-08-16T11:17:51.912000
18.10,5.88,11231.97,3651.35,2015-08-16T11:18:54.139000
11.11,3.39,6896.75,1022.99,2015-08-16T11:19:56.001000
12.14,1.43,7532.21,324.21,2015-08-16T11:20:58.191000
10.63,1.01,6596.74,187.84,2015-08-16T11:22:00.464000
11.77,2.97,7306.02,898.30,2015-08-16T11:23:02.383000
