1um,5um,time (iso),1um arduino,arduino P1 ratio
3179,187,2015-08-18T11:35:58.763000,4951.96174678,7.97986964886
2494,150,2015-08-18T11:36:57.505000,4372.54064518,7.04421730108
1722,92,2015-08-18T11:37:56.248000,3155.40676022,5.0827156793
1598,91,2015-08-18T11:38:54.991000,2592.79304378,4.18108344954
1197,65,2015-08-18T11:39:53.735000,2507.17624698,4.31842645504
974,51,2015-08-18T11:40:52.477000,889.997316916,2.94363223217
856,49,2015-08-18T11:41:51.218000,908.441803073,3.00710223766
785,64,2015-08-18T11:42:49.962000,723.400693122,2.47162255714
781,48,2015-08-18T11:43:48.705000,363.542307995,1.53462123293
886,67,2015-08-18T11:44:47.451000,523.315099163,1.96029242806
890,65,2015-08-18T11:45:46.197000,760.211143483,2.5833386548
942,55,2015-08-18T11:46:44.941000,489.633214655,1.86726498754
924,52,2015-08-18T11:47:43.684000,654.084247809,2.29723308049
955,51,2015-08-18T11:48:42.428000,762.498251438,2.5836252607
975,61,2015-08-18T11:49:41.173000,750.294619142,2.55142948343
957,65,2015-08-18T11:50:39.916000,609.923935637,2.18563209749
926,72,2015-08-18T11:51:38.661000,657.991041956,2.32274981624
918,62,2015-08-18T11:52:37.407000,926.255912004,3.06735177084
904,94,2015-08-18T11:53:36.153000,884.003356098,2.9728217982
927,107,2015-08-18T11:54:34.906000,609.595955609,2.18072222236
912,95,2015-08-18T11:55:33.652000,678.325712174,2.43001928759
1041,90,2015-08-18T11:56:32.400000,1077.6461624,3.69090941083
1118,129,2015-08-18T11:57:31.147000,889.670527674,2.94761690462
1007,202,2015-08-18T11:58:29.894000,983.20276737,3.25293972202
977,170,2015-08-18T11:59:28.637000,1105.52148724,3.79434110676
937,158,2015-08-18T12:00:27.380000,728.061556479,2.51436650843
874,184,2015-08-18T12:01:26.126000,643.67232096,2.26387600862
828,175,2015-08-18T12:02:24.869000,490.701237796,1.87297009086
797,150,2015-08-18T12:03:23.612000,752.094066452,2.57307500963
912,182,2015-08-18T12:04:22.357000,1020.43524532,3.44886456193
865,167,2015-08-18T12:05:21.103000,1004.12341859,3.36276932909
729,135,2015-08-18T12:06:19.846000,935.467662698,3.08418599419
925,211,2015-08-18T12:07:18.592000,998.966934393,3.32928118367
2755,978,2015-08-18T12:08:17.338000,2397.87519729,5.00268884731
1227,355,2015-08-18T12:09:16.081000,3803.44954804,6.13193693258
682,154,2015-08-18T12:10:14.821000,2130.76833827,3.79320386743
674,140,2015-08-18T12:11:13.565000,699.077780373,2.41595158624
718,139,2015-08-18T12:12:12.307000,885.171386566,2.94274161098
1061,266,2015-08-18T12:13:11.053000,1350.57907114,3.82451175359
1090,271,2015-08-18T12:14:09.795000,3740.44917771,6.02929551768
1459,388,2015-08-18T12:15:08.538000,3988.74016714,6.42396007341
1960,545,2015-08-18T12:16:07.280000,5422.61225902,8.73342452822
