P2 ratio,P1 ratio,0.5um,1um,time (iso)
15.49,2.30,961.27,142.98,2015-08-06T22:56:23.968000
18.34,2.44,1138.28,151.45,2015-08-06T22:57:26.903000
20.73,3.90,1286.82,242.09,2015-08-06T22:58:29.522000
17.64,4.52,1094.78,280.71,2015-08-06T22:59:32.036000
16.80,2.97,1042.76,184.16,2015-08-06T23:00:34.185000
15.90,2.04,986.54,126.46,2015-08-06T23:01:36.109000
17.56,1.98,1089.65,122.71,2015-08-06T23:02:39.056000
17.60,3.36,1092.12,208.56,2015-08-06T23:03:41.140000
18.81,2.43,1167.43,150.79,2015-08-06T23:04:43.441000
16.73,5.47,1038.35,339.73,2015-08-06T23:05:46.032000
20.20,4.66,1253.70,288.99,2015-08-06T23:06:47.722000
21.53,2.73,1336.09,169.63,2015-08-06T23:07:49.736000
22.12,3.87,1372.55,240.21,2015-08-06T23:08:52.016000
17.72,3.94,1100.02,244.77,2015-08-06T23:09:54.726000
18.08,4.66,1121.85,289.12,2015-08-06T23:10:56.625000
19.33,3.69,1199.67,229.21,2015-08-06T23:11:58.672000
19.36,3.36,1201.81,208.80,2015-08-06T23:13:01.021000
14.08,2.02,873.97,125.67,2015-08-06T23:14:03.109000
15.54,2.98,964.31,184.85,2015-08-06T23:15:05.815000
17.08,2.57,1059.87,159.53,2015-08-06T23:16:08.382000
19.07,3.71,1183.34,230.27,2015-08-06T23:17:10.781000
19.30,2.28,1197.64,141.73,2015-08-06T23:18:13.553000
18.07,3.02,1121.28,187.25,2015-08-06T23:19:15.939000
19.08,2.07,1184.21,128.18,2015-08-06T23:20:18.133000
16.73,3.06,1038.45,189.75,2015-08-06T23:21:20.061000
19.00,3.06,1178.93,189.97,2015-08-06T23:22:22.894000
17.11,3.88,1062.01,240.68,2015-08-06T23:23:25.060000
18.96,3.30,1176.49,204.63,2015-08-06T23:24:27.524000
16.73,2.26,1038.50,140.01,2015-08-06T23:25:29.640000
14.86,2.19,922.43,135.71,2015-08-06T23:26:32.117000
15.39,2.82,955.09,175.10,2015-08-06T23:27:34.913000
15.06,3.07,934.81,190.52,2015-08-06T23:28:37.230000
16.25,2.37,1008.78,146.90,2015-08-06T23:29:40.555000
19.36,2.25,1201.50,139.51,2015-08-06T23:30:43.195000
15.97,3.92,991.21,243.22,2015-08-06T23:31:45.483000
18.56,3.17,1151.92,196.74,2015-08-06T23:32:48.042000
21.90,4.45,1358.85,276.11,2015-08-06T23:33:50.142000
18.57,2.43,1152.42,151.04,2015-08-06T23:34:51.984000
16.48,2.86,1023.05,177.30,2015-08-06T23:35:53.916000
18.35,3.02,1139.07,187.30,2015-08-06T23:36:56.122000
18.34,3.01,1138.24,187.02,2015-08-06T23:37:58.738000
20.45,2.65,1268.86,164.33,2015-08-06T23:39:01.293000
15.05,1.56,934.06,96.64,2015-08-06T23:40:03.294000
15.13,1.81,939.19,112.61,2015-08-06T23:41:05.239000
15.76,3.00,977.90,186.12,2015-08-06T23:42:07.342000
14.29,2.57,886.99,159.46,2015-08-06T23:43:09.602000
14.35,1.54,890.61,95.44,2015-08-06T23:44:11.485000
14.54,2.08,902.28,129.34,2015-08-06T23:45:13.281000
13.22,1.01,820.29,62.77,2015-08-06T23:46:15.889000
14.64,1.20,908.34,74.34,2015-08-06T23:47:18.808000
13.85,0.73,859.56,45.37,2015-08-06T23:48:20.875000
12.60,0.93,782.02,57.67,2015-08-06T23:49:23.561000
16.22,1.15,1006.91,71.47,2015-08-06T23:50:25.796000
14.00,1.13,869.12,69.86,2015-08-06T23:51:28.850000
14.72,1.05,913.30,65.33,2015-08-06T23:52:30.881000
12.24,1.56,759.86,96.56,2015-08-06T23:53:34.418000
12.96,0.74,804.23,45.99,2015-08-06T23:54:36.194000
14.15,1.28,878.45,79.69,2015-08-06T23:55:40.362000
13.62,1.45,845.37,90.06,2015-08-06T23:56:43.544000
12.03,1.29,746.42,80.11,2015-08-06T23:57:45.938000
16.00,1.65,993.00,102.40,2015-08-06T23:58:49.476000
13.45,1.18,834.73,73.44,2015-08-06T23:59:51.593000
11.07,1.14,687.01,71.05,2015-08-07T00:00:54.360000
14.14,0.84,877.40,51.91,2015-08-07T00:01:57.054000
11.34,1.07,703.78,66.19,2015-08-07T00:03:00.055000
13.55,1.30,840.92,80.92,2015-08-07T00:04:01.790000
11.07,0.32,687.19,20.06,2015-08-07T00:05:03.984000
12.67,1.23,786.05,76.33,2015-08-07T00:06:06.326000
11.67,1.40,724.52,86.79,2015-08-07T00:07:08.479000
11.41,1.48,708.10,91.93,2015-08-07T00:08:11.599000
14.63,1.33,908.08,82.47,2015-08-07T00:09:14.305000
11.62,1.92,721.42,118.88,2015-08-07T00:10:16.946000
12.88,0.83,799.12,51.77,2015-08-07T00:11:19.299000
13.24,1.03,821.72,63.73,2015-08-07T00:12:21.338000
11.60,1.08,719.92,67.33,2015-08-07T00:13:24.064000
11.32,0.94,702.83,58.21,2015-08-07T00:14:27.036000
12.10,0.83,750.77,51.53,2015-08-07T00:15:29.988000
11.41,0.69,707.95,42.95,2015-08-07T00:16:33.009000
12.49,0.76,774.92,47.22,2015-08-07T00:17:35.298000
11.69,1.03,725.37,63.65,2015-08-07T00:18:38.716000
10.90,0.50,676.43,30.75,2015-08-07T00:19:40.772000
10.56,1.18,655.07,73.51,2015-08-07T00:20:43.273000
11.44,0.59,709.80,36.89,2015-08-07T00:21:46.512000
12.90,0.47,800.58,29.25,2015-08-07T00:22:48.415000
12.95,1.43,803.48,88.69,2015-08-07T00:23:50.896000
12.86,0.95,797.90,58.73,2015-08-07T00:24:52.865000
11.13,0.73,690.70,45.48,2015-08-07T00:25:54.768000
14.07,0.78,873.27,48.27,2015-08-07T00:26:56.683000
11.48,0.56,712.49,34.63,2015-08-07T00:27:59.185000
11.17,0.40,693.50,24.74,2015-08-07T00:29:01.665000
11.66,0.66,723.49,40.90,2015-08-07T00:30:04.085000
10.48,0.95,650.10,58.97,2015-08-07T00:31:06.610000
11.61,0.48,720.52,29.76,2015-08-07T00:32:09.250000
12.03,0.62,746.88,38.67,2015-08-07T00:33:12.220000
11.07,1.23,686.92,76.13,2015-08-07T00:34:14.500000
11.65,0.34,723.03,21.27,2015-08-07T00:35:17.775000
12.68,0.28,787.24,17.57,2015-08-07T00:36:20.571000
11.03,0.63,684.65,39.40,2015-08-07T00:37:24.059000
12.54,0.94,778.52,58.17,2015-08-07T00:38:26.405000
13.34,0.72,827.75,44.41,2015-08-07T00:39:28.452000
11.31,0.95,702.14,59.15,2015-08-07T00:40:31.010000
10.56,0.56,655.31,34.79,2015-08-07T00:41:33.978000
14.26,0.91,885.11,56.39,2015-08-07T00:42:37.372000
10.81,0.90,670.90,55.88,2015-08-07T00:43:39.530000
11.58,0.70,718.56,43.71,2015-08-07T00:44:42.821000
